Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"929 Larson Point Johnsonville, DC 68667","929 Larson Point Johnsonville, DC 68667",Tampa,,929 Larson Point,Johnsonville,DC,68667,Duplex,1,0,1.96,1074,,,0,1,1,1960,2438,6510,Garage,6,3,0,,,4,33.827168,-85.64004,Fords,8.26
"753 Philip Cape East Sharonside, KS 74871","753 Philip Cape East Sharonside, KS 74871",Atlanta,1,753 Philip Cape,East Sharonside,KS,74871,Duplex,,0,1.91,60,1,0,0,1,,1995,2287,6736,,2,4,,Colonial,1,1,34.812872,-78.538284,Inlet,8.88
"08387 Cox Drives Mullenville, HI 26430","08387 Cox Drives Mullenville, HI 26430",Dalas,0,08387 Cox Drives,Mullenville,HI,26430,Condo,1,0,2.09,1171,1,0,0,0,1,2012,2774,5302,Driveway,6,2,1,Split,1,2,40.231944,-104.868144,Road,5.54
"1308 Martinez Lodge Apt. 358 North Jon, FM 30857","1308 Martinez Lodge Apt. 358 North Jon, FM 30857",Dalas,0,1308 Martinez Lodge Apt. 358,North Jon,FM,30857,Condo,,,2.26,675,0,1,1,1,1,1961,2522,3745,Street,3,2,,Split,0,2,33.09024,-98.735401,Islands,9.28
"606 Crystal Creek Suite 350 Shirleyport, PW 67541","606 Crystal Creek Suite 350 Shirleyport, PW 67541",Dallas,0,606 Crystal Creek Suite 350,Shirleyport,PW,67541,Townhouse,0,0,2.01,717,,1,,0,0,1952,3136,9773,,5,3,,Colonial,1,3,40.941422,-85.144017,Pines,4.61
"2972 Zoe Summit Suite 643 South Karenchester, RI 90312","2972 Zoe Summit Suite 643 South Karenchester, RI 90312",Atlanta,1,2972 Zoe Summit Suite 643,South Karenchester,RI,90312,SFR,,,1.18,1547,0,0,,1,0,2023,2561,9026,Driveway,5,1,1,Colonial,0,3,34.047398,-100.769848,Meadow,8.17
"3855 Johnson Forges North Angela, PA 28395","3855 Johnson Forges North Angela, PA 28395",Dalas,,3855 Johnson Forges,North Angela,PA,28395,Single Family Home,0,,2.09,685,,,1,1,1,1971,1841,2367,Street,3,2,0,,,5,33.802552,-75.325976,Brook,4.73
"4425 Christopher Gateway Whiteview, GA 93193","4425 Christopher Gateway Whiteview, GA 93193",Dalas,,4425 Christopher Gateway,Whiteview,GA,93193,Single Family Home,,,2.27,841,1,1,0,,,1997,2476,4664,Garage,4,3,1,Ranch,1,5,38.207024,-82.031792,Alley,5.02
"8590 Karen Centers Suite 884 Williamston, WA 06871","8590 Karen Centers Suite 884 Williamston, WA 06871",Dallas,,8590 Karen Centers Suite 884,Williamston,WA,6871,SFR,,1,2.42,1024,1,1,1,1,0,1976,3105,1141,Garage,4,2,,Ranch,0,5,38.586547,-112.872077,Stream,3.63
"99897 Davis Corners Carolton, IL 14552","99897 Davis Corners Carolton, IL 14552",Florida,1,99897 Davis Corners,Carolton,IL,14552,Single Family Home,,,2.22,1034,,0,0,1,0,1979,1149,1863,,6,4,,,,3,40.300513,-105.507968,Avenue,8.92
"2187 Goodman Coves Christopherhaven, IL 59478","2187 Goodman Coves Christopherhaven, IL 59478",Chicago,,2187 Goodman Coves,Christopherhaven,IL,59478,Condo,0,,1.26,1101,,0,1,0,0,1974,2950,2782,Garage,4,4,1,Ranch,,3,40.991206,-100.415878,Hill,3.81
"11373 Stevenson Place Hansonberg, MT 64604","11373 Stevenson Place Hansonberg, MT 64604",Tampa,1,11373 Stevenson Place,Hansonberg,MT,64604,Duplex,0,0,3.39,342,0,,0,1,1,1987,2435,2357,Garage,3,1,1,Colonial,0,4,36.240096,-110.305008,Tunnel,7.17
"089 Alyssa Glens West Stacie, NH 58472","089 Alyssa Glens West Stacie, NH 58472",Chicgo,0,089 Alyssa Glens,West Stacie,NH,58472,SFR,1,0,2.78,1221,,0,,,,1993,1673,7443,Driveway,2,1,1,Split,0,2,33.659336,-87.192412,Track,4.66
"01811 Elizabeth Throughway Apt. 088 West Michaelfort, HI 66963","01811 Elizabeth Throughway Apt. 088 West Michaelfort, HI 66963",Dalas,,01811 Elizabeth Throughway Apt. 088,West Michaelfort,HI,66963,Condo,0,,2.3,396,0,,0,,0,1960,2010,4318,Driveway,1,1,0,,,1,33.738204,-112.394258,Square,9.2
"688 Nicholas Land Suite 916 North Jeffrey, NE 60577","688 Nicholas Land Suite 916 North Jeffrey, NE 60577",Dallas,0,688 Nicholas Land Suite 916,North Jeffrey,NE,60577,Single Family Home,,1,3.23,1237,,1,,,0,1982,1934,8534,Garage,1,1,1,,1,3,38.202091,-85.279874,View,4.53
"976 Margaret Junction Apt. 576 Lake Ronaldchester, WI 21014","976 Margaret Junction Apt. 576 Lake Ronaldchester, WI 21014",Florida,0,976 Margaret Junction Apt. 576,Lake Ronaldchester,WI,21014,Duplex,0,,1.45,340,1,1,1,,0,1970,3494,8181,Garage,6,1,0,Ranch,1,1,38.785899,-101.522809,Mills,6.41
"3788 Hernandez Shores Suite 366 Port Patrickside, NC 03993","3788 Hernandez Shores Suite 366 Port Patrickside, NC 03993",Chicago,0,3788 Hernandez Shores Suite 366,Port Patrickside,NC,3993,SFR,,1,1.72,804,1,,0,0,0,1968,3305,3290,,1,2,,Ranch,,4,34.224594,-96.434971,Forks,8.33
"00623 Jackson Flats Apt. 890 Debraburgh, ND 91091","00623 Jackson Flats Apt. 890 Debraburgh, ND 91091",Dalas,1,00623 Jackson Flats Apt. 890,Debraburgh,ND,91091,Condo,,1,1.15,1972,1,,1,0,1,2000,2902,9820,Garage,5,3,1,Ranch,,3,39.44702,-94.644808,Rapids,3.04
"0695 West Oval Suite 346 Petersmouth, NH 74327","0695 West Oval Suite 346 Petersmouth, NH 74327",Florida,1,0695 West Oval Suite 346,Petersmouth,NH,74327,Duplex,0,,1.12,1907,,,,0,1,1967,1314,2907,Driveway,5,1,,,1,1,38.962157,-73.701135,Mountain,8.25
"122 Diane Ville Suite 292 Ericstad, SD 22551","122 Diane Ville Suite 292 Ericstad, SD 22551",Atlanta,,122 Diane Ville Suite 292,Ericstad,SD,22551,Single Family Home,0,0,1.1,1422,0,,1,1,0,1978,1227,7127,Driveway,1,1,,Split,1,3,34.842134,-98.596749,Cove,3.94
"4880 Le Plains Apt. 137 Christopherport, CT 97375","4880 Le Plains Apt. 137 Christopherport, CT 97375",Tampa,0,4880 Le Plains Apt. 137,Christopherport,CT,97375,Townhouse,1,,1.67,1763,1,0,0,1,,1959,2834,5419,Street,2,2,,Colonial,0,1,40.288557,-110.17729,Ports,7.12
"55098 Zachary Hill Apt. 185 Lake Taylor, AS 79440","55098 Zachary Hill Apt. 185 Lake Taylor, AS 79440",Florida,0,55098 Zachary Hill Apt. 185,Lake Taylor,AS,79440,SFR,1,,2.57,1296,,0,0,1,,2006,788,6934,Garage,4,4,0,Split,1,5,38.303238,-112.67124,Lodge,6.14
"57774 Dana Gardens Riveraport, MH 82629","57774 Dana Gardens Riveraport, MH 82629",Tampa,0,57774 Dana Gardens,Riveraport,MH,82629,SFR,,1,2.38,873,1,,,1,,2005,1244,8285,Garage,2,1,0,Colonial,,1,33.441913,-82.827345,Cove,3.35
"8374 Kimberly Fort Suite 567 East Erica, FL 45204","8374 Kimberly Fort Suite 567 East Erica, FL 45204",Chicgo,0,8374 Kimberly Fort Suite 567,East Erica,FL,45204,Condo,,0,2.75,1271,0,0,1,,1,1956,693,2101,Street,3,3,1,Split,0,5,41.855406,-88.095789,Light,9.12
"65896 Kristen Run Paulfurt, WY 75057","65896 Kristen Run Paulfurt, WY 75057",Chicgo,1,65896 Kristen Run,Paulfurt,WY,75057,Single Family Home,0,,2.77,1989,1,1,1,0,1,1990,2640,3260,Garage,5,4,0,Split,1,4,37.565402,-73.067281,Tunnel,7.55
"6790 Mitchell Shore Suite 536 Lake Scott, MT 47038","6790 Mitchell Shore Suite 536 Lake Scott, MT 47038",Dalas,1,6790 Mitchell Shore Suite 536,Lake Scott,MT,47038,Duplex,,0,3.05,276,0,1,1,,0,1993,877,4303,Street,5,3,1,Ranch,0,3,39.607647,-80.824538,Mall,6.69
"5396 Murphy Villages New Jeremyhaven, WY 10727","5396 Murphy Villages New Jeremyhaven, WY 10727",Atlanta,0,5396 Murphy Villages,New Jeremyhaven,WY,10727,Townhouse,1,0,2.09,643,0,,1,0,,1985,3368,9967,,5,1,1,Ranch,0,2,37.000121,-89.296861,Square,4.39
"916 Benitez Drives Suite 510 Kimberlyshire, NC 32534","916 Benitez Drives Suite 510 Kimberlyshire, NC 32534",Tampa,0,916 Benitez Drives Suite 510,Kimberlyshire,NC,32534,Single Family Home,0,,2.82,1814,,0,,,0,1962,2271,4687,,4,1,,Colonial,1,5,35.855059,-85.38548,Cliffs,3.29
"901 Rebecca Pines Suite 279 Harriston, IA 01072","901 Rebecca Pines Suite 279 Harriston, IA 01072",Florida,0,901 Rebecca Pines Suite 279,Harriston,IA,1072,Duplex,,0,3.25,496,0,0,0,,1,1974,789,6917,Driveway,4,1,,,1,1,38.255551,-102.046524,Port,9.53
"5645 Maria Valleys Suite 270 Lindamouth, DE 98387","5645 Maria Valleys Suite 270 Lindamouth, DE 98387",Florida,1,5645 Maria Valleys Suite 270,Lindamouth,DE,98387,SFR,0,,2.45,301,1,,,1,,2022,2873,4782,Driveway,4,3,,Split,,3,39.643874,-86.888122,Track,9.88
"464 Price Courts Apt. 544 Williamsberg, UT 62545","464 Price Courts Apt. 544 Williamsberg, UT 62545",Dallas,0,464 Price Courts Apt. 544,Williamsberg,UT,62545,Single Family Home,1,0,1.14,1517,1,0,,,1,1980,599,1803,Street,5,1,0,Colonial,0,2,34.267177,-77.715667,Passage,9.2
"53940 Adam Pines Jonathanland, ME 76247","53940 Adam Pines Jonathanland, ME 76247",Chicago,0,53940 Adam Pines,Jonathanland,ME,76247,Duplex,,1,2.54,1390,1,0,0,0,,2016,1463,7279,,2,3,1,Ranch,1,4,40.829362,-82.729794,Summit,6.08
"22437 Kimberly Mount Port Michaelshire, NJ 49632","22437 Kimberly Mount Port Michaelshire, NJ 49632", ,,22437 Kimberly Mount,Port Michaelshire,NJ,49632,Single Family Home,1,0,2.03,161,,0,0,1,,2011,1617,1069,Garage,2,4,1,Split,0,5,37.594644,-81.984359,Streets,3.59
"489 Erica Mills Suite 724 Ashleytown, ND 29143","489 Erica Mills Suite 724 Ashleytown, ND 29143", ,0,489 Erica Mills Suite 724,Ashleytown,ND,29143,SFR,,0,1.85,1477,1,,,1,0,2014,2349,8269,Street,6,1,,Split,0,2,38.26053,-91.716164,Extension,7.1
"916 Scott Oval Shawnaburgh, FM 22881","916 Scott Oval Shawnaburgh, FM 22881",Dallas,1,916 Scott Oval,Shawnaburgh,FM,22881,Duplex,1,0,2.3,966,1,0,0,0,,1973,3112,1504,Garage,4,1,1,Ranch,1,4,40.164327,-80.073214,Ford,7.38
"7243 Garcia Trafficway Suite 952 Port Amymouth, NJ 16533","7243 Garcia Trafficway Suite 952 Port Amymouth, NJ 16533",Atlanta,0,7243 Garcia Trafficway Suite 952,Port Amymouth,NJ,16533,Condo,,0,2.87,1121,0,0,1,0,,1962,2714,8591,Garage,1,2,,,,1,36.348146,-87.52472,Route,3.29
"4125 Scott Summit Apt. 897 Robertsonport, ME 24730","4125 Scott Summit Apt. 897 Robertsonport, ME 24730",Tampa,1,4125 Scott Summit Apt. 897,Robertsonport,ME,24730,Duplex,1,0,2.87,1332,0,0,,0,1,1965,625,8292,Driveway,3,3,,,1,1,37.464114,-114.260105,Manors,9.33
"10493 Thomas Rue Suite 439 Port Danielle, IN 36154","10493 Thomas Rue Suite 439 Port Danielle, IN 36154",Atlanta,1,10493 Thomas Rue Suite 439,Port Danielle,IN,36154,SFR,0,1,2.21,547,0,0,1,1,,1972,2796,2512,Driveway,4,2,,Split,0,4,34.459521,-86.938419,Skyway,9.63
"954 Banks Creek Garrettmouth, MO 14722","954 Banks Creek Garrettmouth, MO 14722",Florida,0,954 Banks Creek,Garrettmouth,MO,14722,SFR,1,,1.55,585,1,,1,1,0,1997,1540,9374,Garage,2,2,1,Ranch,0,3,37.726231,-73.532889,Mission,3.16
"59053 Daniel Lane Apt. 053 Port Henry, RI 46014","59053 Daniel Lane Apt. 053 Port Henry, RI 46014", ,0,59053 Daniel Lane Apt. 053,Port Henry,RI,46014,Duplex,,1,2.99,1434,,0,0,0,,1981,2995,1903,Driveway,5,3,1,,,5,35.884856,-103.736938,Mission,9.55
"4440 Gabrielle Stravenue Carneyside, VT 98909","4440 Gabrielle Stravenue Carneyside, VT 98909",Chicgo,,4440 Gabrielle Stravenue,Carneyside,VT,98909,SFR,0,,2.02,504,1,0,1,1,1,2006,2996,6005,Driveway,6,4,0,,0,4,36.543445,-81.331634,Mount,9.51
"768 Henderson Street South Matthew, ID 48118","768 Henderson Street South Matthew, ID 48118",Tampa,1,768 Henderson Street,South Matthew,ID,48118,Duplex,1,0,1.64,1127,1,1,0,,1,2017,1291,2259,Street,5,2,0,,0,1,37.351659,-90.147961,Mews,5.62
"0749 Morgan Ridges Cannonview, CT 50959","0749 Morgan Ridges Cannonview, CT 50959",Dallas,0,0749 Morgan Ridges,Cannonview,CT,50959,Condo,,1,3.23,1755,1,,0,0,,1965,3029,5878,,2,2,,,,2,35.006621,-105.149296,Creek,7.15
"5292 Adams Parks Apt. 651 Melissatown, ID 05724","5292 Adams Parks Apt. 651 Melissatown, ID 05724",Dallas,1,5292 Adams Parks Apt. 651,Melissatown,ID,5724,Duplex,0,,2.58,941,,1,,0,,2005,659,2481,Garage,5,4,1,,,2,41.131739,-94.70278,Harbor,5.72
"47284 Kimberly Courts Suite 453 Micheleside, AK 54470","47284 Kimberly Courts Suite 453 Micheleside, AK 54470",Dallas,1,47284 Kimberly Courts Suite 453,Micheleside,AK,54470,Townhouse,1,1,2.19,651,0,1,1,0,0,1965,1891,3382,Driveway,1,4,,Ranch,1,2,39.366018,-96.522422,Highway,8.19
"0663 Ian Glen Suite 357 Davischester, ID 40914","0663 Ian Glen Suite 357 Davischester, ID 40914",Chicgo,1,0663 Ian Glen Suite 357,Davischester,ID,40914,SFR,1,0,2.56,189,0,,,0,1,1966,1255,9443,,6,1,1,Ranch,1,1,37.467654,-115.371038,Course,6.02
"21332 Jason Inlet South Zachary, NH 77242","21332 Jason Inlet South Zachary, NH 77242",Chicgo,,21332 Jason Inlet,South Zachary,NH,77242,Condo,0,,2.82,373,0,1,,1,0,1999,2593,5549,,3,3,1,Ranch,1,3,35.844219,-79.729401,Spur,9.56
"15669 Baker Tunnel Jamietown, OK 17797","15669 Baker Tunnel Jamietown, OK 17797",Florida,,15669 Baker Tunnel,Jamietown,OK,17797,Single Family Home,0,,1.84,492,,,,1,,1984,3024,8690,Driveway,6,2,0,Ranch,,4,39.693042,-93.575518,Terrace,5.97
"086 Cynthia Corners Suite 373 Amandahaven, MS 09965","086 Cynthia Corners Suite 373 Amandahaven, MS 09965",Chicgo,1,086 Cynthia Corners Suite 373,Amandahaven,MS,9965,Single Family Home,1,1,2.33,1222,,,,0,0,1950,1226,5623,Street,6,3,,Colonial,0,1,36.67625,-75.10013,Creek,8.52
"787 Melissa Ranch East Sean, FM 70615","787 Melissa Ranch East Sean, FM 70615",Florida,0,787 Melissa Ranch,East Sean,FM,70615,Single Family Home,1,1,1.89,1450,,,1,,,1977,1090,5722,Driveway,1,4,1,,,3,38.087536,-106.25375,Drive,3.52
"769 Douglas Squares West Matthew, WI 48838","769 Douglas Squares West Matthew, WI 48838",Florida,,769 Douglas Squares,West Matthew,WI,48838,SFR,0,0,1.11,810,,1,,,,1975,1168,9070,,6,4,1,,1,1,37.786104,-100.513661,Harbors,8.12
"1777 Abigail View Suite 578 North Emilyview, OK 90745","1777 Abigail View Suite 578 North Emilyview, OK 90745",Atlanta,,1777 Abigail View Suite 578,North Emilyview,OK,90745,Single Family Home,1,,3.12,249,1,1,0,0,0,2002,959,5250,Street,4,4,0,Split,,1,41.810427,-109.053887,Pass,6.59
"7934 Bass Curve Apt. 538 Mcculloughfurt, NE 31294","7934 Bass Curve Apt. 538 Mcculloughfurt, NE 31294", ,1,7934 Bass Curve Apt. 538,Mcculloughfurt,NE,31294,Duplex,1,0,2.04,11,0,,,1,1,2019,1244,4461,,3,3,,,0,4,41.366922,-76.467924,Motorway,3.42
"85235 Timothy Green Apt. 504 North Sabrinaport, VT 77297","85235 Timothy Green Apt. 504 North Sabrinaport, VT 77297",Atlanta,,85235 Timothy Green Apt. 504,North Sabrinaport,VT,77297,Condo,0,0,3.08,1269,1,0,1,,1,1998,3001,2781,Driveway,1,3,0,Colonial,0,2,40.401563,-82.215617,Creek,4.11
"23339 Ferguson Gateway Suite 599 Michaelland, MI 76029","23339 Ferguson Gateway Suite 599 Michaelland, MI 76029",Tampa,1,23339 Ferguson Gateway Suite 599,Michaelland,MI,76029,Townhouse,0,,2.9,880,1,,,1,,2021,3001,5750,Street,1,1,0,,,2,39.930628,-117.820635,Mount,8.16
"805 Johnny Turnpike East Robertberg, AL 07853","805 Johnny Turnpike East Robertberg, AL 07853",Dallas,1,805 Johnny Turnpike,East Robertberg,AL,7853,Duplex,,1,2.01,1177,1,1,,,,1980,2863,2100,Garage,4,3,,,1,4,35.078815,-109.806767,Path,3.57
"862 Amber Forest East Kristy, WA 00792","862 Amber Forest East Kristy, WA 00792",Tampa,1,862 Amber Forest,East Kristy,WA,792,SFR,,,2.44,225,1,,1,,0,1983,1473,3159,Garage,6,1,1,Split,0,3,40.39539,-112.102755,River,8.82
"80378 White Stravenue Crystalbury, VT 77123","80378 White Stravenue Crystalbury, VT 77123",Dallas,1,80378 White Stravenue,Crystalbury,VT,77123,Condo,0,1,2.15,1810,1,1,,0,0,1973,3296,1386,Street,1,1,0,,1,2,35.116498,-108.864814,Squares,6.47
"22718 Michael Parks Christopherberg, NM 23007","22718 Michael Parks Christopherberg, NM 23007",Chicago,0,22718 Michael Parks,Christopherberg,NM,23007,Single Family Home,0,,3.26,1187,,,0,,,2009,2227,4799,,1,2,,Ranch,1,3,41.024874,-106.848311,Haven,5.34
"2152 Gabriel Trail Apt. 235 Perezshire, FL 00675","2152 Gabriel Trail Apt. 235 Perezshire, FL 00675", ,,2152 Gabriel Trail Apt. 235,Perezshire,FL,675,SFR,0,1,3.21,1222,1,,1,1,0,1964,2704,1959,,6,1,0,Split,1,3,36.677543,-105.932299,Cliff,8.86
"67116 Navarro Canyon Apt. 417 Brooksside, PR 28802","67116 Navarro Canyon Apt. 417 Brooksside, PR 28802",Dallas,0,67116 Navarro Canyon Apt. 417,Brooksside,PR,28802,Townhouse,1,,3.18,27,,0,1,0,1,1950,1261,9469,Driveway,3,2,,Split,,1,38.319051,-80.603097,Knolls,9.64
"91050 Williams Station Apt. 880 Taylorshire, AS 01682","91050 Williams Station Apt. 880 Taylorshire, AS 01682", ,,91050 Williams Station Apt. 880,Taylorshire,AS,1682,Single Family Home,0,0,3.0,1400,0,0,,1,,1984,1571,2398,Garage,3,3,,,0,2,33.500833,-74.193487,Circle,4.18
"6658 Dustin Isle Davisstad, GU 41475","6658 Dustin Isle Davisstad, GU 41475",Chicgo,,6658 Dustin Isle,Davisstad,GU,41475,SFR,1,0,1.04,322,1,,1,0,0,1979,1995,6887,Garage,1,1,1,Colonial,1,1,36.867544,-109.746166,Pike,3.17
"064 Sean Shore Suite 006 Rodriguezport, NE 58594","064 Sean Shore Suite 006 Rodriguezport, NE 58594",Chicago,,064 Sean Shore Suite 006,Rodriguezport,NE,58594,Condo,0,1,2.12,440,1,0,1,,1,1954,2694,8076,,4,3,1,Ranch,1,2,40.363368,-114.883446,Key,4.32
"7815 Cynthia Courts Apt. 226 Lake Melissabury, GA 37191","7815 Cynthia Courts Apt. 226 Lake Melissabury, GA 37191",Tampa,0,7815 Cynthia Courts Apt. 226,Lake Melissabury,GA,37191,Duplex,,0,2.11,804,0,,,,1,1981,1459,7289,Street,2,1,0,Split,1,5,41.530774,-114.010689,Street,5.38
"802 Christina Cliffs Apt. 288 South Dawnstad, DC 42102","802 Christina Cliffs Apt. 288 South Dawnstad, DC 42102",Tampa,1,802 Christina Cliffs Apt. 288,South Dawnstad,DC,42102,Single Family Home,1,1,2.67,186,1,,0,1,,1975,2033,6751,,2,3,,,1,3,35.570972,-106.651896,Court,3.45
"653 Mills Club Apt. 618 Staceyfurt, UT 45488","653 Mills Club Apt. 618 Staceyfurt, UT 45488",Atlanta,1,653 Mills Club Apt. 618,Staceyfurt,UT,45488,Single Family Home,0,,2.15,1768,1,0,1,0,,1990,1281,1144,Garage,3,3,,Colonial,,3,39.386562,-100.95943,Islands,3.12
"22435 Hernandez Grove Suite 046 Judithborough, TN 77126","22435 Hernandez Grove Suite 046 Judithborough, TN 77126",Atlanta,0,22435 Hernandez Grove Suite 046,Judithborough,TN,77126,Duplex,1,,3.1,1558,,0,1,1,0,1959,2992,4428,,6,4,0,,,1,41.265422,-115.561592,Burg,4.4
"7744 Roach Forges Suite 729 Lake Jonathanton, SD 55404","7744 Roach Forges Suite 729 Lake Jonathanton, SD 55404",Chicgo,0,7744 Roach Forges Suite 729,Lake Jonathanton,SD,55404,SFR,,0,1.47,1576,0,1,0,1,1,2010,2460,1802,Garage,3,3,0,Split,,2,37.420002,-107.193827,Fort,8.5
"408 Barrett Glen Timothyland, VT 05978","408 Barrett Glen Timothyland, VT 05978",Dallas,0,408 Barrett Glen,Timothyland,VT,5978,Townhouse,,1,1.7,1521,1,1,0,1,1,1987,2362,4814,Garage,4,1,1,,0,4,33.909053,-114.42332,Mountains,4.31
"5085 Christopher Rue Stevenfurt, SD 32841","5085 Christopher Rue Stevenfurt, SD 32841",Dallas,1,5085 Christopher Rue,Stevenfurt,SD,32841,SFR,1,0,2.49,747,,,,0,0,1986,1672,3865,Driveway,6,2,,,,4,34.032656,-87.790722,Turnpike,7.85
"0049 Wiley Bypass Suite 110 Crosshaven, OH 81768","0049 Wiley Bypass Suite 110 Crosshaven, OH 81768",Chicgo,1,0049 Wiley Bypass Suite 110,Crosshaven,OH,81768,Single Family Home,1,,1.79,1064,0,,1,1,,1951,1268,5552,Driveway,6,3,0,Ranch,1,5,36.761812,-115.286883,Wall,7.9
"977 Heather Walks Apt. 503 South Adam, MD 38880","977 Heather Walks Apt. 503 South Adam, MD 38880",Dallas,,977 Heather Walks Apt. 503,South Adam,MD,38880,SFR,,,2.54,1141,1,1,1,,,1978,1127,1278,Driveway,1,3,1,,,4,36.276711,-86.900291,Club,9.36
"143 Bauer Plain Frazierfort, WY 51579","143 Bauer Plain Frazierfort, WY 51579",Tampa,,143 Bauer Plain,Frazierfort,WY,51579,Condo,1,1,2.54,1029,0,1,0,,0,2007,2581,8764,Street,3,2,1,,0,3,33.309932,-97.118958,Crescent,7.83
"084 Oliver Turnpike Suite 896 Lake Stephanie, MP 55379","084 Oliver Turnpike Suite 896 Lake Stephanie, MP 55379",Atlanta,,084 Oliver Turnpike Suite 896,Lake Stephanie,MP,55379,Condo,0,,1.23,831,0,0,1,1,0,2005,1038,8462,,5,1,,Split,1,2,37.456287,-80.824133,Rapids,9.99
"93238 Donovan Squares Apt. 541 Samanthamouth, CT 03975","93238 Donovan Squares Apt. 541 Samanthamouth, CT 03975",Tampa,0,93238 Donovan Squares Apt. 541,Samanthamouth,CT,3975,SFR,,0,1.26,1580,1,1,0,,,2016,2594,9465,Garage,5,1,0,,,1,40.797883,-77.458658,Heights,4.48
"4364 Dickerson Dam South Shelbyview, TX 68588","4364 Dickerson Dam South Shelbyview, TX 68588",Tampa,1,4364 Dickerson Dam,South Shelbyview,TX,68588,SFR,,1,1.65,1231,1,1,0,1,1,1990,3199,6984,Street,6,2,1,,,2,36.013426,-96.24424,Circle,5.51
"917 Eric Gateway Lisaport, MN 67939","917 Eric Gateway Lisaport, MN 67939", ,1,917 Eric Gateway,Lisaport,MN,67939,Single Family Home,0,0,1.4,1282,,0,1,,0,1998,2848,6425,Garage,6,2,,Ranch,,2,38.611228,-90.540316,Ridges,7.99
"14236 Benjamin Coves Zoeport, AS 21360","14236 Benjamin Coves Zoeport, AS 21360",Chicago,0,14236 Benjamin Coves,Zoeport,AS,21360,Single Family Home,0,,2.34,1797,1,0,1,,1,1991,833,2109,Driveway,3,3,1,Split,0,4,36.400002,-83.487876,Vista,9.79
"99181 Mcdonald Rapid Baldwintown, DE 84713","99181 Mcdonald Rapid Baldwintown, DE 84713",Tampa,1,99181 Mcdonald Rapid,Baldwintown,DE,84713,Single Family Home,,,1.13,544,,1,0,1,,1953,648,3562,,3,4,1,Colonial,,2,34.470911,-83.265794,Parks,8.14
"9143 Arnold Flat Gregoryfort, VA 89557","9143 Arnold Flat Gregoryfort, VA 89557",Chicgo,1,9143 Arnold Flat,Gregoryfort,VA,89557,Single Family Home,,1,2.39,141,0,,0,,,1967,1002,9860,Street,2,1,,,,5,36.763785,-112.237277,Alley,4.76
"810 Scott Crossing New Williamshire, NE 27059","810 Scott Crossing New Williamshire, NE 27059", ,0,810 Scott Crossing,New Williamshire,NE,27059,Condo,1,,1.81,22,0,0,,,1,1969,1435,6565,,1,1,1,,,2,40.20477,-107.459529,Cliff,5.57
"1845 Jones Ramp Suite 972 Davisland, WY 69753","1845 Jones Ramp Suite 972 Davisland, WY 69753",Tampa,1,1845 Jones Ramp Suite 972,Davisland,WY,69753,Single Family Home,1,,3.34,75,,1,1,1,1,1985,3484,8065,Garage,3,2,0,,1,1,36.314656,-106.752518,Mill,9.93
"507 Myers Shore Allenview, TN 34131","507 Myers Shore Allenview, TN 34131",Atlanta,0,507 Myers Shore,Allenview,TN,34131,Townhouse,1,0,3.19,682,1,1,,0,,2008,2792,8130,Driveway,2,4,,,0,2,38.506033,-104.226758,Vista,7.99
"5386 Jones Burg North Glenshire, NE 90445","5386 Jones Burg North Glenshire, NE 90445", ,1,5386 Jones Burg,North Glenshire,NE,90445,SFR,0,1,2.86,1937,0,0,1,,1,2007,1304,3455,Driveway,5,1,0,Colonial,1,3,38.149874,-115.243469,Rapid,7.07
"657 John Hill Robinsonton, IA 98684","657 John Hill Robinsonton, IA 98684",Florida,,657 John Hill,Robinsonton,IA,98684,Condo,0,1,3.17,937,1,,,0,,2019,614,5937,Street,1,4,,Ranch,0,3,37.680543,-79.82404,Rue,5.86
"911 Larson Village Suite 585 Normanchester, OR 84581","911 Larson Village Suite 585 Normanchester, OR 84581",Chicgo,0,911 Larson Village Suite 585,Normanchester,OR,84581,Townhouse,1,1,2.91,1762,,0,,1,0,1974,1069,7136,Street,3,1,0,Ranch,0,1,39.794195,-114.828235,Street,5.11
"761 Jones Drive Barbaraland, CO 71785","761 Jones Drive Barbaraland, CO 71785",Dalas,1,761 Jones Drive,Barbaraland,CO,71785,Condo,0,,1.7,1118,,1,1,,,1978,2082,6147,Garage,3,2,,Split,1,3,33.398258,-99.425666,Streets,9.18
"353 Yvette Shoal Jamesmouth, DC 58185","353 Yvette Shoal Jamesmouth, DC 58185",Chicago,,353 Yvette Shoal,Jamesmouth,DC,58185,Single Family Home,,0,2.65,354,0,0,,0,0,1994,1832,2076,Driveway,4,1,0,,,2,34.492962,-79.01828,Flat,4.1
"8582 Scott Groves Apt. 013 East Kayleemouth, FL 94762","8582 Scott Groves Apt. 013 East Kayleemouth, FL 94762",Atlanta,1,8582 Scott Groves Apt. 013,East Kayleemouth,FL,94762,Single Family Home,1,0,2.51,934,,1,1,,,1989,3235,2901,,4,2,,Colonial,0,4,35.827848,-91.731765,Heights,6.02
