Reviewed_Status,Most_Recent_Status,Source,Occupancy,Net_Yield,IRR,Selling_Reason,Seller_Retained_Broker,Final_Reviewer
Accepted Offer,Available,Auction.com,Yes,4.43,11.39,Downsizing,Yes,Jessica Lin
New,Always Kick,Opendoor,No,3.49,9.66,Investor Sale,Yes,Sophia Williams
New,Kick,Broker,,11.56,13.53,,Yes,Luis Garcia
Offered,Cancelled,Internal,No,11.24,7.8,,,Sophia Williams
Reviewed,Closed,Broker,No,7.12,16.21,,Yes,Sophia Williams
Null,Closed,Opendoor,,8.27,11.85,Investor Sale,Yes,Amit Kumar
Cancelled,Cancelled,M L S,No,9.04,18.98,Downsizing,,Emily Patel
Offered,Pending,Auction.com,,5.64,11.66,Investor Sale,No,Emily Patel
Accepted Offer,Cancelled,MLS,No,10.15,14.37,,,Luis Garcia
Closed,Pend,MLS,Yes,6.24,11.44,Job Transfer,,Jessica Lin
New,Always Kick,MLS,Yes,6.98,16.34,,,Emily Patel
Closed,Cancelled,Bulk,No,10.9,15.27,Job Transfer,No,Michael Chen
Null,Null,Broker,No,7.83,14.91,Investor Sale,,Luis Garcia
New,Pend,Broker,,11.37,8.83,Downsizing,No,David Thompson
Null, ,Bulk,,5.7,14.33,,,Samantha Pierce
Reviewed,Kick,Internal,No,5.99,13.22,Investor Sale,Yes,Jessica Lin
 ,Kick,MLS,No,7.68,14.83,Downsizing,,Luis Garcia
Reviewed,Close,MLS,,7.09,6.87,Job Transfer,Yes,David Thompson
Cancelled,Pending,Internal,Yes,6.84,13.51,,,Jessica Lin
Accepted Offer, ,MLS,No,10.28,10.89,,,Jessica Lin
Reviewed,Null,Auction.com,No,7.32,17.01,Downsizing,,Michael Chen
New,Kick,MLS,Yes,9.68,14.16,Downsizing,Yes,Priya Sharma
Null, ,Internal,No,11.82,11.88,Investor Sale,No,Jason Miller
New,Pending,Auction.com,,5.56,18.48,,No,Jason Miller
Null,Available,Bulk,,7.89,13.68,,,Amit Kumar
Null,Available,Auction.com,Yes,11.98,14.21,Downsizing,No,Samantha Pierce
Cancelled,Kick,M L S,No,9.28,10.83,Downsizing,No,Jessica Lin
Cancelled,Kick,MLS,Yes,9.7,18.5,,,Jason Miller
Null, ,Auction.com,Yes,11.38,6.49,Investor Sale,Yes,Jessica Lin
 ,Pending,M L S,,11.74,17.74,Downsizing,,Priya Sharma
Null,Null,Auction.com,No,4.26,18.4,Investor Sale,,Priya Sharma
Null,Pending,Internal,No,6.72,11.53,,Yes,David Thompson
Null,Pend,Opendoor,,6.64,13.39,Investor Sale,,Emily Patel
Reviewed,Cancelled,Broker,Yes,9.74,19.04,,Yes,Jason Miller
Null,Kick,MLS,Yes,4.24,5.84,Job Transfer,Yes,Jessica Lin
Reviewed, ,Internal,Yes,3.57,8.81,,Yes,Jessica Lin
Offered,Pend,Bulk,,4.67,5.21,Downsizing,Yes,Amit Kumar
Null,Always Kick,Bulk,No,8.53,16.51,Investor Sale,Yes,Jason Miller
Reviewed,Available,MLS,No,3.55,14.75,Downsizing,,Michael Chen
 ,Close,Broker,Yes,10.37,6.68,,,Emily Patel
Closed,Null,MLS,No,6.79,5.9,Job Transfer,Yes,Luis Garcia
Offered, ,Auction.com,No,5.08,7.45,Downsizing,No,Michael Chen
New, ,Auction.com,No,5.48,5.91,Job Transfer,Yes,Michael Chen
New,Kick,Auction.com,No,6.08,6.31,Investor Sale,No,Emily Patel
Offered,Kick,Internal,,11.5,10.31,Job Transfer,Yes,Sophia Williams
Closed,Pend,MLS,No,10.99,18.64,Investor Sale,Yes,Emily Patel
Closed,Always Kick,Broker,,5.17,13.21,Downsizing,Yes,Sophia Williams
Offered,Pending,Broker,,7.47,11.79,,,Priya Sharma
 ,Always Kick,Bulk,Yes,4.43,7.87,Investor Sale,Yes,Jessica Lin
Null,Kick,Broker,Yes,6.97,19.11,,,Jason Miller
Reviewed, ,MLS,,6.74,6.88,Job Transfer,No,Luis Garcia
New,Closed,Bulk,,9.98,5.75,Downsizing,,Jessica Lin
Accepted Offer,Pending,Bulk,No,3.48,9.51,Investor Sale,No,Sophia Williams
Closed,Always Kick,Opendoor,No,3.59,14.13,,,Amit Kumar
Accepted Offer,Pending,MLS,Yes,3.2,13.82,Investor Sale,No,Sophia Williams
Null,Cancelled,Broker,No,7.54,8.14,,Yes,Luis Garcia
Offered,Available,Bulk,No,10.17,15.07,Job Transfer,,Amit Kumar
New, ,M L S,Yes,3.16,5.68,Investor Sale,No,Samantha Pierce
 ,Kick,Broker,No,4.45,8.55,Downsizing,Yes,David Thompson
Offered,Pending,Bulk,,10.85,18.39,Job Transfer,Yes,Michael Chen
Closed,Kick,Broker,,6.24,15.04,,,Jessica Lin
Offered,Available,Bulk,Yes,3.5,11.96,Job Transfer,Yes,Sophia Williams
New,Closed,Broker,Yes,4.72,18.72,,,Amit Kumar
Accepted Offer,Pending,Bulk,Yes,10.17,17.52,Downsizing,,Samantha Pierce
Offered,Null,MLS,,6.64,19.54,Investor Sale,Yes,Amit Kumar
New,Always Kick,Internal,No,7.07,8.26,Investor Sale,,Emily Patel
 , ,M L S,No,10.21,18.43,Job Transfer,No,Emily Patel
Null,Always Kick,MLS,,5.25,18.24,Job Transfer,,Priya Sharma
Closed,Available,M L S,,7.37,15.23,Downsizing,,David Thompson
Cancelled, ,Auction.com,Yes,11.72,19.83,Downsizing,No,Sophia Williams
Accepted Offer, ,Bulk,,3.61,15.02,Investor Sale,,Samantha Pierce
Reviewed, ,M L S,,4.12,13.58,Downsizing,,Jessica Lin
Offered,Close,Internal,,9.56,13.68,,Yes,Priya Sharma
 ,Closed,M L S,Yes,5.83,12.34,Downsizing,Yes,David Thompson
Accepted Offer,Close,Auction.com,No,11.15,10.96,Downsizing,No,Jason Miller
Offered,Cancelled,Bulk,Yes,4.68,8.83,Investor Sale,,Priya Sharma
Reviewed,Close,MLS,No,6.58,18.79,Job Transfer,Yes,Jessica Lin
Offered,Always Kick,Auction.com,Yes,7.12,12.43,,,David Thompson
 ,Pend,Opendoor,Yes,11.64,18.34,,Yes,Samantha Pierce
Reviewed,Always Kick,Broker,Yes,8.08,11.71,Downsizing,,Priya Sharma
Accepted Offer,Close,Opendoor,No,3.12,6.23,Investor Sale,,Jason Miller
New,Null,Internal,Yes,9.93,8.5,,No,Michael Chen
Reviewed,Kick,M L S,Yes,7.25,17.45,Job Transfer,No,David Thompson
Offered,Kick,MLS,,3.44,9.18,,,Samantha Pierce
Offered,Available,Bulk,No,11.34,15.41,,,Emily Patel
New,Kick,Internal,,11.17,15.81,Downsizing,Yes,Michael Chen
Accepted Offer, ,Bulk,No,6.89,7.07,Investor Sale,Yes,Samantha Pierce
New,Always Kick,Internal,,3.75,16.22,Investor Sale,Yes,Emily Patel
Accepted Offer,Cancelled,MLS,Yes,6.26,14.62,Downsizing,No,Emily Patel
Cancelled, ,Bulk,No,5.95,13.89,Job Transfer,Yes,Jessica Lin
Closed,Close,M L S,,6.35,15.46,Job Transfer,,Priya Sharma
 ,Pend,Bulk,Yes,7.64,19.66,Downsizing,Yes,Amit Kumar
Closed,Pend,M L S,No,7.91,5.29,,,Amit Kumar
Accepted Offer,Closed,Auction.com,,7.51,17.55,Downsizing,Yes,Samantha Pierce
New,Cancelled,Bulk,No,7.17,5.33,,No,Jason Miller
 ,Available,MLS,No,3.87,7.53,Downsizing,Yes,Samantha Pierce
Reviewed,Cancelled,Opendoor,No,7.9,10.63,Downsizing,Yes,Luis Garcia
Cancelled,Kick,Broker,No,4.07,7.11,Investor Sale,No,Samantha Pierce
 ,Closed,MLS,,7.98,18.92,,Yes,David Thompson
New,Kick,Broker,No,9.71,13.13,Job Transfer,,David Thompson
Closed,Close,Auction.com,Yes,4.9,18.83,Investor Sale,No,Emily Patel
Accepted Offer,Close,MLS,,5.34,11.48,Job Transfer,Yes,Michael Chen
Offered,Pending,MLS,Yes,7.95,18.01,Investor Sale,No,David Thompson
Offered,Pending,MLS,No,4.81,11.57,Job Transfer,Yes,Priya Sharma
Null,Close,MLS,No,7.46,15.21,Downsizing,,David Thompson
 , ,M L S,,3.62,16.22,Investor Sale,No,Emily Patel
Reviewed,Closed,M L S,Yes,6.18,16.41,,Yes,Luis Garcia
New,Null,Internal,Yes,5.84,19.8,Downsizing,No,Priya Sharma
Closed,Closed,Bulk,,4.61,13.55,,No,Jessica Lin
Offered,Kick,Auction.com,Yes,4.77,19.42,Investor Sale,,Amit Kumar
New, ,Opendoor,Yes,4.7,17.98,,No,Luis Garcia
Null,Close,M L S,No,6.74,8.97,Job Transfer,No,Priya Sharma
New, ,Broker,No,9.13,16.5,Investor Sale,Yes,Jessica Lin
Null,Available,M L S,No,4.92,17.88,,No,Emily Patel
Closed,Pending,Opendoor,,9.34,7.47,Downsizing,No,Priya Sharma
New,Kick,MLS,No,7.83,6.82,Investor Sale,Yes,David Thompson
Cancelled,Closed,Opendoor,,4.73,15.02,Job Transfer,Yes,David Thompson
Null,Pending,Auction.com,,4.41,17.06,Downsizing,Yes,Jessica Lin
Closed,Always Kick,Opendoor,,8.95,10.17,,Yes,Jessica Lin
Accepted Offer,Kick,MLS,No,9.85,8.71,Job Transfer,,Priya Sharma
 ,Always Kick,Auction.com,No,3.19,15.09,,,Sophia Williams
New, ,M L S,,11.5,17.95,Investor Sale,Yes,Jessica Lin
Reviewed,Closed,Internal,Yes,5.96,18.64,Job Transfer,No,David Thompson
Closed,Kick,Auction.com,Yes,3.93,16.02,Job Transfer,Yes,Priya Sharma
Cancelled,Available,MLS,Yes,5.35,14.89,Job Transfer,,David Thompson
Reviewed,Close,Internal,Yes,5.06,12.06,Downsizing,No,Jessica Lin
Offered,Close,Opendoor,Yes,9.56,16.08,Investor Sale,,Sophia Williams
Closed,Always Kick,Bulk,,4.76,19.37,Job Transfer,,Jessica Lin
 ,Cancelled,Broker,No,3.81,14.72,Job Transfer,,Luis Garcia
New, ,MLS,,9.31,6.54,Job Transfer,,Emily Patel
Null,Available,Bulk,Yes,7.5,19.8,Investor Sale,,Jessica Lin
Cancelled, ,Bulk,No,7.35,13.68,Job Transfer,No,Jason Miller
Null,Kick,Auction.com,,10.43,19.35,,,Luis Garcia
Null,Kick,Auction.com,,11.61,11.67,,,Jessica Lin
Offered,Pending,MLS,Yes,5.23,12.35,Downsizing,Yes,Emily Patel
Accepted Offer,Pend,Auction.com,Yes,6.74,13.58,Job Transfer,No,David Thompson
Accepted Offer,Always Kick,MLS,No,4.94,13.79,Investor Sale,No,Jason Miller
Closed,Always Kick,MLS,No,4.91,16.96,Downsizing,Yes,Emily Patel
Offered,Kick,M L S,No,3.58,18.39,Investor Sale,,Amit Kumar
 ,Pending,Bulk,Yes,8.51,11.21,Downsizing,,Priya Sharma
Null, ,Internal,No,11.86,5.37,Investor Sale,Yes,Emily Patel
Cancelled,Cancelled,MLS,No,9.47,18.02,Job Transfer,No,Amit Kumar
Reviewed,Null,M L S,Yes,5.06,18.24,Investor Sale,Yes,Jason Miller
Accepted Offer,Kick,Bulk,,7.28,8.97,Investor Sale,,Jessica Lin
Cancelled,Pending,Auction.com,No,11.4,11.34,Investor Sale,,Jessica Lin
Offered, ,Opendoor,,10.3,13.15,Downsizing,No,Jessica Lin
Null,Available,Bulk,,4.49,17.69,,Yes,Luis Garcia
 ,Pending,Internal,No,5.79,15.7,Downsizing,No,Sophia Williams
Closed,Cancelled,Broker,No,8.38,15.89,Job Transfer,No,Jason Miller
 ,Kick,MLS,No,11.7,10.29,Job Transfer,Yes,Jason Miller
Cancelled, ,Broker,Yes,11.07,5.05,Investor Sale,No,Luis Garcia
Reviewed,Pending,Auction.com,Yes,6.3,5.77,Investor Sale,,Priya Sharma
New,Cancelled,MLS,Yes,8.84,8.41,Investor Sale,,Michael Chen
Null,Closed,Bulk,Yes,9.01,16.57,Investor Sale,,Samantha Pierce
Null,Available,Opendoor,Yes,5.71,12.05,Downsizing,,Jessica Lin
Offered,Always Kick,MLS,,7.3,12.63,Job Transfer,No,Amit Kumar
Cancelled,Always Kick,Auction.com,No,8.84,13.27,Investor Sale,Yes,Amit Kumar
New,Null,Opendoor,No,6.64,18.52,Downsizing,,Jessica Lin
Cancelled,Kick,Auction.com,Yes,11.03,18.17,Job Transfer,,Michael Chen
New,Available,Internal,No,6.88,18.31,Investor Sale,No,Michael Chen
Accepted Offer,Kick,Internal,Yes,9.62,16.1,,,David Thompson
Reviewed, ,M L S,Yes,5.22,6.91,,,Jason Miller
Cancelled,Pend,Opendoor,,5.95,5.49,Job Transfer,No,Sophia Williams
New,Close,MLS,No,5.26,12.38,,Yes,Jason Miller
New,Kick,Broker,Yes,7.71,15.21,Downsizing,Yes,Sophia Williams
Accepted Offer,Null,Internal,No,9.58,19.02,Job Transfer,,Samantha Pierce
Reviewed,Close,Bulk,No,4.94,6.52,Investor Sale,No,Samantha Pierce
Reviewed,Always Kick,MLS,,3.87,16.22,Downsizing,No,David Thompson
Accepted Offer,Pending,M L S,No,7.4,11.03,,No,Amit Kumar
Offered,Pending,Auction.com,,3.36,17.75,Investor Sale,No,Jason Miller
Null,Close,Opendoor,Yes,10.5,9.78,Investor Sale,Yes,Emily Patel
New,Cancelled,Internal,No,10.97,7.76,,Yes,Michael Chen
New,Pending,Broker,No,11.98,8.0,Downsizing,No,Amit Kumar
Closed,Pend,Internal,Yes,7.09,7.77,,No,Amit Kumar
Null,Pend,M L S,No,3.55,15.27,Job Transfer,Yes,Emily Patel
 ,Null,Broker,,5.64,8.94,Downsizing,,David Thompson
Reviewed,Kick,Bulk,Yes,6.93,6.88,Job Transfer,,Michael Chen
Accepted Offer,Pend,M L S,,3.57,18.44,,No,Samantha Pierce
Cancelled,Close,M L S,,7.35,16.12,Job Transfer,No,Michael Chen
Null,Cancelled,Internal,Yes,5.39,18.09,Job Transfer,Yes,Emily Patel
New,Available,Auction.com,No,7.61,8.31,Investor Sale,,Jessica Lin
New, ,Opendoor,Yes,8.64,15.54,Downsizing,No,Amit Kumar
Offered, ,MLS,,11.29,7.94,Investor Sale,Yes,Sophia Williams
Closed,Kick,Internal,,4.22,19.29,Downsizing,Yes,Amit Kumar
Null,Close,Broker,,7.53,18.96,Investor Sale,,David Thompson
New,Pend,Auction.com,Yes,7.05,16.58,Investor Sale,,Michael Chen
Cancelled,Pending,Opendoor,Yes,10.94,10.1,Downsizing,No,Priya Sharma
New,Always Kick,MLS,,8.2,14.32,,,Emily Patel
Accepted Offer,Kick,Internal,,7.81,7.6,,No,Michael Chen
Reviewed,Kick,Internal,Yes,11.36,17.15,Job Transfer,Yes,Jason Miller
Reviewed,Closed,Broker,Yes,8.75,15.4,Job Transfer,Yes,Jessica Lin
Cancelled,Closed,M L S,Yes,7.26,17.26,Investor Sale,Yes,Luis Garcia
New,Cancelled,Bulk,,8.66,13.17,Downsizing,Yes,Amit Kumar
New,Cancelled,Bulk,Yes,6.34,9.0,Downsizing,Yes,Samantha Pierce
Null,Available,MLS,No,11.45,6.86,Job Transfer,No,Amit Kumar
Closed,Kick,M L S,Yes,8.85,9.68,Investor Sale,Yes,David Thompson
Cancelled,Null,M L S,No,4.93,14.27,Investor Sale,,David Thompson
 ,Pend,M L S,Yes,6.76,17.52,,No,Sophia Williams
Offered,Kick,MLS,Yes,3.75,18.45,Job Transfer,,Jessica Lin
Offered,Cancelled,Bulk,Yes,10.06,7.74,Downsizing,No,Michael Chen
Reviewed,Closed,MLS,No,7.58,5.1,,,Jessica Lin
Cancelled,Closed,Internal,,3.23,10.37,Downsizing,Yes,Priya Sharma
 ,Pend,Broker,No,8.77,9.42,,,Luis Garcia
Closed,Closed,Auction.com,Yes,5.65,8.93,Downsizing,Yes,Emily Patel
Cancelled, ,Internal,Yes,3.99,18.23,,,Michael Chen
Reviewed, ,MLS,,11.63,9.15,Investor Sale,Yes,Emily Patel
Closed,Pending,Bulk,Yes,8.31,8.01,Investor Sale,Yes,Priya Sharma
Accepted Offer,Null,MLS,No,7.01,16.78,Job Transfer,Yes,David Thompson
New,Close,Auction.com,,5.58,6.02,Investor Sale,Yes,David Thompson
 ,Closed,MLS,No,7.46,13.58,Investor Sale,Yes,Luis Garcia
Null,Pending,Broker,No,10.75,17.32,Investor Sale,No,Samantha Pierce
Null,Closed,Auction.com,Yes,4.23,13.13,Downsizing,No,Priya Sharma
Reviewed,Always Kick,Internal,No,8.9,12.69,Job Transfer,,Amit Kumar
Null,Close,Broker,Yes,5.88,5.32,,,Luis Garcia
Closed,Kick,MLS,No,9.71,9.97,Downsizing,,Michael Chen
Cancelled,Close,Auction.com,,4.42,16.09,Investor Sale,Yes,Sophia Williams
 ,Pend,Opendoor,,11.53,6.79,,No,Priya Sharma
Offered,Always Kick,MLS,Yes,7.08,5.14,,Yes,Amit Kumar
Null,Pending,Bulk,,5.28,7.63,Downsizing,No,Emily Patel
New,Pending,Bulk,,6.6,5.52,Investor Sale,Yes,Sophia Williams
Offered,Null,M L S,,6.2,11.54,Downsizing,,Samantha Pierce
Accepted Offer,Close,Broker,No,5.84,8.85,Downsizing,No,Emily Patel
Accepted Offer,Cancelled,Broker,,3.77,13.6,,,Jason Miller
 ,Closed,M L S,No,6.3,12.2,Investor Sale,,Amit Kumar
Null,Pending,Auction.com,No,4.36,6.35,Downsizing,,David Thompson
Null,Kick,Bulk,,10.07,11.75,Job Transfer,,Samantha Pierce
Cancelled,Closed,M L S,Yes,11.16,18.8,Downsizing,Yes,Samantha Pierce
Accepted Offer,Closed,Opendoor,,3.42,5.95,,Yes,Jessica Lin
Reviewed,Null,MLS,Yes,8.84,9.74,Investor Sale,No,Samantha Pierce
Reviewed,Null,Broker,,8.13,12.74,Investor Sale,No,Amit Kumar
Offered,Cancelled,MLS,Yes,6.19,17.56,Job Transfer,,Jessica Lin
New,Null,M L S,No,5.18,14.7,Job Transfer,,Emily Patel
Closed, ,M L S,,6.87,17.08,Job Transfer,,Emily Patel
 ,Pend,Bulk,Yes,9.75,16.47,Job Transfer,No,Jason Miller
Cancelled,Close,Broker,No,3.73,10.38,Downsizing,,Emily Patel
 ,Kick,Internal,,4.34,13.94,,Yes,Michael Chen
Offered, ,M L S,Yes,5.57,15.51,Job Transfer,,Jessica Lin
Reviewed,Close,MLS,Yes,8.11,19.0,Job Transfer,Yes,Samantha Pierce
Offered,Pend,Opendoor,No,11.73,17.34,,,Priya Sharma
Null,Pend,Bulk,No,3.1,18.76,,,Priya Sharma
Closed,Close,Opendoor,Yes,9.12,15.03,,,Jason Miller
Null,Cancelled,Bulk,,5.55,10.69,Investor Sale,,Emily Patel
Offered, ,Internal,Yes,4.67,5.51,,Yes,Priya Sharma
Closed,Close,Auction.com,Yes,8.19,17.91,Downsizing,Yes,David Thompson
New,Pend,MLS,Yes,11.12,17.94,Job Transfer,Yes,Jessica Lin
Closed,Pend,MLS,Yes,8.43,5.47,Job Transfer,,Amit Kumar
Null,Close,Broker,,11.31,17.11,,Yes,Luis Garcia
New,Always Kick,Auction.com,No,11.35,6.33,Downsizing,,Sophia Williams
Reviewed,Null,MLS,No,10.46,15.82,Investor Sale,,David Thompson
Offered,Null,Auction.com,,7.62,12.91,Job Transfer,No,Jason Miller
Null,Null,MLS,Yes,11.65,13.5,Investor Sale,No,Jason Miller
Accepted Offer,Available,Auction.com,No,7.04,6.85,,Yes,Priya Sharma
Accepted Offer,Closed,Broker,Yes,5.59,11.54,Investor Sale,Yes,Sophia Williams
Null,Pending,Bulk,No,4.06,11.7,,,Samantha Pierce
Offered,Close,Broker,Yes,8.16,16.95,,Yes,Priya Sharma
Offered,Closed,Broker,,4.44,10.89,Job Transfer,,Amit Kumar
Closed,Closed,Internal,,9.41,9.45,Job Transfer,No,Michael Chen
Accepted Offer,Available,Auction.com,Yes,3.58,8.48,Job Transfer,Yes,Priya Sharma
Cancelled,Pending,MLS,,11.27,15.41,Investor Sale,No,Jason Miller
New,Kick,MLS,No,5.55,8.93,Investor Sale,,Emily Patel
Null,Close,MLS,Yes,8.28,7.87,Downsizing,Yes,Luis Garcia
 ,Available,Bulk,,10.09,19.18,Downsizing,No,David Thompson
Null,Always Kick,Opendoor,Yes,3.62,12.56,,No,Jessica Lin
Accepted Offer,Always Kick,Bulk,,7.73,10.37,Downsizing,,Jason Miller
Offered,Available,Bulk,,8.97,12.32,,No,Emily Patel
Reviewed,Pend,MLS,Yes,10.9,8.9,Job Transfer,,David Thompson
Cancelled,Always Kick,Opendoor,No,8.48,10.44,Investor Sale,Yes,Luis Garcia
New,Kick,M L S,No,5.73,15.01,Downsizing,No,Michael Chen
 ,Pend,Broker,No,8.07,5.88,Job Transfer,No,Emily Patel
Offered,Close,Opendoor,Yes,10.57,14.37,Downsizing,Yes,Emily Patel
 ,Kick,Opendoor,Yes,8.56,10.48,Downsizing,,Samantha Pierce
 ,Kick,Broker,Yes,4.63,10.71,,,David Thompson
 ,Null,Auction.com,,6.22,9.69,,,Sophia Williams
 ,Available,MLS,Yes,3.1,10.24,Job Transfer,,David Thompson
Closed,Pend,Broker,,3.85,10.19,Job Transfer,,Jessica Lin
Offered,Cancelled,MLS,Yes,5.12,6.37,Downsizing,No,Michael Chen
 ,Kick,Broker,No,9.85,8.3,Downsizing,No,Priya Sharma
Closed,Available,Bulk,Yes,6.92,12.82,Job Transfer,No,Jason Miller
Cancelled,Closed,Broker,Yes,8.88,19.56,,Yes,Luis Garcia
Accepted Offer,Cancelled,MLS,,10.02,13.0,,,Michael Chen
New,Available,M L S,No,3.1,12.29,Downsizing,,David Thompson
Null,Close,Internal,,4.83,7.53,,Yes,Samantha Pierce
New,Null,Broker,,4.46,12.6,Downsizing,No,Michael Chen
Offered, ,Opendoor,,6.87,7.78,Job Transfer,,Jason Miller
Accepted Offer,Cancelled,Broker,No,3.4,9.79,Downsizing,,Sophia Williams
Reviewed,Null,Internal,No,5.96,5.92,,No,Sophia Williams
 ,Closed,Opendoor,No,11.28,5.16,Downsizing,,Sophia Williams
Offered,Closed,MLS,Yes,7.22,11.79,Investor Sale,,Sophia Williams
New,Available,Bulk,No,11.0,13.25,Investor Sale,,Luis Garcia
Accepted Offer,Kick,MLS,Yes,5.93,13.95,Job Transfer,Yes,David Thompson
Reviewed,Always Kick,M L S,,8.38,11.51,,No,Jason Miller
Closed,Kick,Auction.com,No,7.92,13.97,Job Transfer,No,Michael Chen
Null,Null,MLS,No,7.25,14.46,,Yes,Samantha Pierce
Accepted Offer,Kick,M L S,Yes,4.64,17.44,,,Jason Miller
New,Available,MLS,Yes,9.73,14.82,Investor Sale,,Samantha Pierce
Null,Closed,Opendoor,No,10.8,17.55,Job Transfer,No,Amit Kumar
Reviewed,Available,M L S,No,10.01,9.42,Investor Sale,Yes,Sophia Williams
Null,Available,Auction.com,Yes,7.8,5.89,Investor Sale,Yes,Priya Sharma
Offered,Pend,Bulk,No,3.33,9.06,Investor Sale,,Sophia Williams
Accepted Offer,Close,Opendoor,Yes,10.17,13.89,Investor Sale,No,Amit Kumar
Accepted Offer,Kick,M L S,No,9.93,12.05,Investor Sale,No,Samantha Pierce
Closed,Always Kick,MLS,No,3.4,17.59,Downsizing,,Priya Sharma
Accepted Offer,Null,MLS,No,9.19,13.83,Investor Sale,No,Jason Miller
New,Pending,Auction.com,Yes,8.47,15.93,,,Michael Chen
Null,Pend,Auction.com,No,11.13,17.65,Downsizing,No,Luis Garcia
Accepted Offer,Always Kick,Auction.com,No,8.96,16.22,Investor Sale,,Jason Miller
Accepted Offer, ,Opendoor,Yes,11.26,13.99,Job Transfer,Yes,Jason Miller
Accepted Offer,Available,MLS,,10.74,19.6,Job Transfer,No,Samantha Pierce
Null,Available,Internal,,6.58,18.7,Investor Sale,Yes,Priya Sharma
Closed,Pending,MLS,Yes,11.94,17.44,Downsizing,No,David Thompson
Offered,Cancelled,M L S,Yes,6.13,7.5,Job Transfer,,David Thompson
Reviewed,Close,Broker,,4.55,12.05,Downsizing,,Emily Patel
Closed,Null,M L S,Yes,9.55,19.72,Job Transfer,,Emily Patel
Accepted Offer,Null,M L S,Yes,5.07,6.31,,,Michael Chen
 ,Pending,Broker,Yes,9.0,12.02,,Yes,Amit Kumar
Accepted Offer,Always Kick,Bulk,Yes,11.67,16.15,Investor Sale,Yes,Jessica Lin
 ,Pending,Internal,No,8.3,13.41,Job Transfer,No,Jason Miller
 ,Pending,M L S,Yes,10.33,16.43,Downsizing,Yes,Jason Miller
Null,Close,Auction.com,,8.31,8.5,,Yes,Samantha Pierce
Accepted Offer,Available,M L S,,5.61,5.1,Job Transfer,,Luis Garcia
Reviewed,Pend,Auction.com,No,10.76,9.61,Downsizing,No,David Thompson
Closed,Kick,MLS,,7.83,9.35,,No,David Thompson
Null,Kick,MLS,Yes,10.71,7.18,,,Luis Garcia
Accepted Offer,Close,Bulk,No,3.15,18.99,,Yes,Jessica Lin
Offered, ,Bulk,Yes,5.35,18.95,Job Transfer,,Jason Miller
Accepted Offer,Null,Auction.com,No,11.5,8.89,,,Luis Garcia
Null,Always Kick,Opendoor,Yes,8.67,13.69,,Yes,Jason Miller
Accepted Offer, ,Broker,No,10.64,12.65,Downsizing,,Amit Kumar
Reviewed,Available,Internal,,9.65,5.53,Investor Sale,Yes,Luis Garcia
Closed,Cancelled,Broker,No,7.49,16.81,Investor Sale,Yes,Sophia Williams
Offered,Always Kick,Bulk,,11.48,10.76,Downsizing,,Emily Patel
Offered,Closed,Internal,,6.4,9.34,Job Transfer,Yes,Sophia Williams
Offered,Kick,MLS,,3.11,8.51,,No,David Thompson
Reviewed,Pending,Bulk,No,11.67,5.65,Investor Sale,Yes,Emily Patel
Accepted Offer,Pend,Auction.com,,6.33,10.18,,,Priya Sharma
Reviewed, ,Internal,Yes,11.06,8.65,Investor Sale,No,David Thompson
Null,Always Kick,Internal,No,11.27,15.52,Job Transfer,Yes,Samantha Pierce
Closed,Close,Internal,Yes,5.95,15.3,Job Transfer,Yes,Jason Miller
Null, ,MLS,Yes,11.08,16.49,Investor Sale,,Luis Garcia
 ,Closed,Opendoor,,8.23,13.15,Investor Sale,,Sophia Williams
Offered,Close,Auction.com,,3.11,12.77,,,Emily Patel
Null,Closed,MLS,Yes,3.18,6.47,Downsizing,Yes,Sophia Williams
Null,Cancelled,Auction.com,Yes,7.3,17.86,Investor Sale,,Michael Chen
Null,Cancelled,Broker,,11.89,15.73,Job Transfer,,Sophia Williams
Offered,Cancelled,Internal,Yes,7.96,5.35,,,Emily Patel
Closed, ,Internal,,5.84,11.91,Job Transfer,No,Jessica Lin
 ,Pend,MLS,No,10.45,12.39,Downsizing,,Amit Kumar
Accepted Offer,Pend,MLS,No,3.13,17.58,Job Transfer,No,Michael Chen
Closed,Closed,Auction.com,,6.98,5.99,Investor Sale,,Amit Kumar
New,Available,Auction.com,,11.2,17.15,Job Transfer,,Jessica Lin
New,Null,Broker,Yes,11.9,6.42,,,Emily Patel
 ,Close,M L S,No,6.48,17.21,Job Transfer,Yes,Jessica Lin
New,Close,Internal,Yes,4.31,9.04,Investor Sale,,Samantha Pierce
Offered,Cancelled,MLS,No,6.08,13.54,Job Transfer,Yes,Jessica Lin
Cancelled,Pending,Internal,,10.85,11.11,Job Transfer,,Amit Kumar
Null,Cancelled,Bulk,,11.03,9.01,Investor Sale,,Sophia Williams
Closed,Null,MLS,,7.72,7.9,Downsizing,No,Michael Chen
Reviewed,Kick,Internal,,6.13,5.03,,Yes,Amit Kumar
 ,Pend,Auction.com,,10.16,6.68,Downsizing,,Luis Garcia
Offered,Always Kick,MLS,Yes,10.42,12.77,,No,Jason Miller
Reviewed,Closed,Internal,,7.5,14.45,Investor Sale,No,Jessica Lin
New, ,Internal,Yes,10.85,11.91,,No,Emily Patel
Offered,Cancelled,Internal,Yes,11.16,16.96,Investor Sale,Yes,Luis Garcia
