Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,Redfin_Value
3055,260676,505941,548781,1143,1996,1014,3458,503557
940,349000,226813,216967,1247,3828,1583,1311,522866
853,422597,352883,203072,2841,3439,1027,3147,414363
2556,257769,264918,454139,2090,3739,1868,3084,269203
1033,109975,211938,238295,1882,2347,751,1480,296522
2806,447703,335257,185054,2999,3064,891,1637,589435
1040,149448,342292,556135,2445,2998,1874,2062,247734
2833,478831,360011,389939,1422,3543,872,2909,356369
1553,200228,254637,366401,2567,2204,989,3492,492595
1339,379092,349144,325643,1947,3633,921,2254,459261
3046,488826,535564,422746,2751,3892,1042,2181,512647
2184,180026,339071,520566,3409,3959,1334,1734,596613
2076,345393,366723,137398,1477,2448,1199,2998,356560
1897,113790,430761,290475,2129,3866,895,3066,372073
1528,493968,395604,238399,2322,2309,1527,3105,517875
2708,341548,431604,134161,1714,3844,1297,1905,255269
2253,197931,544192,565394,3257,2234,1455,3416,305510
1150,377944,516226,306577,2999,3725,1113,3350,375307
2242,185792,185926,358221,2116,3699,929,2126,210400
2254,483212,230312,432829,2644,2808,1598,1675,132007
1435,377443,326500,564681,2626,3668,1028,1599,551093
2701,430966,357562,516619,1138,1436,1033,2114,153129
1322,275372,377139,494857,2233,2466,938,1604,241773
2832,241227,473166,483490,1085,1815,1926,3248,516255
1455,385896,428140,200724,1038,1458,817,3109,228717
1618,137818,493164,405479,1354,2259,1014,3281,255508
1301,119267,359505,448912,3310,3981,1887,2238,223848
1209,129173,375537,418680,1195,2208,1597,3121,413512
1690,409416,220960,504197,2445,1489,1411,1216,241826
3292,327777,544549,120650,2903,2699,779,1953,420136
1481,173013,230275,293148,2325,2777,1584,2047,170446
2379,98256,449697,389876,2766,3780,1025,1730,384528
1697,347013,402655,519515,3007,2331,1859,2079,510616
2215,258790,418331,176992,1174,2072,1371,3126,576870
3237,304363,538633,390436,1242,1220,977,2467,395291
1183,122392,340070,349271,3290,3087,1234,2600,194333
2715,489540,186108,500859,1676,910,984,1146,414821
2425,90926,322543,96908,2986,3323,1829,1614,432547
2028,113693,91109,393694,1546,1215,941,1868,549275
3071,433366,408130,396492,1554,3563,1440,2116,494223
3230,457355,332378,146223,1048,3508,1090,1426,291757
918,498478,320123,521067,1679,1901,1216,1203,402408
2421,405743,313291,275710,2598,1762,1995,1251,372700
2085,461545,234927,579305,1965,2966,1750,1951,99755
2541,159864,422036,221035,3246,1906,846,2433,593224
2887,375879,423762,257902,2631,2955,1016,2408,222555
1327,483174,233012,135197,1568,3513,1560,1174,93999
1307,109624,498413,521154,2433,3463,1500,1376,453607
2556,333257,465261,133418,2973,2872,1215,2234,522003
1397,242940,486342,156219,1009,1087,1046,3087,321601
2621,145173,376550,333361,1532,3491,1674,1795,371854
1325,177537,387754,293940,2580,1211,1778,2872,339639
3375,449437,135751,297732,1184,1262,1774,1180,447221
1865,180628,238802,368083,1709,3708,1703,1221,421609
3329,372223,110343,439100,1506,2047,734,3061,268624
1222,483974,435275,456411,2932,3299,1540,1831,258191
1769,301037,471586,99511,2852,1485,1687,2974,289853
2261,104695,447286,446969,2793,1914,755,2948,122691
2954,143125,233564,488562,2726,2940,1699,2734,193664
2440,121496,332396,465367,1899,1446,1541,2976,449888
1845,317878,170845,292193,1580,2258,1860,1847,338416
2267,148081,263170,316634,3493,1054,891,2634,540805
2825,255821,236259,597587,3425,1441,840,1608,180347
1921,465088,234720,191619,2890,1454,1050,3014,406719
1412,418535,154214,294727,3267,3939,785,1826,485107
3200,168655,348204,469813,3368,3178,1995,2975,114720
1519,120018,197933,436240,2889,3015,1526,1535,596609
2002,237104,525833,270229,2606,2545,1426,2939,297389
1806,173559,454359,175429,1061,3132,733,2331,295133
2559,115884,285010,502980,1901,3530,993,2226,102428
1894,364925,191728,566519,1876,1348,1165,1769,561999
2129,249337,303136,592594,1925,3614,1907,3225,382974
1516,295780,242595,540527,2462,3387,1983,1337,249584
1021,454173,324801,220901,2108,3920,1948,3429,459222
2454,316283,412422,281932,2852,1535,865,1299,355805
2986,204311,528778,456518,2316,1446,1043,2376,561226
2740,162459,393816,258854,3261,3550,1903,1486,133465
2533,478549,277155,352132,1731,2381,1442,1699,439034
1865,368399,371139,297807,1903,2645,1155,3495,259554
1958,203258,410693,539891,2486,3219,1661,2398,258440
2148,451451,275961,124617,2371,1117,1607,1969,435293
2515,487005,515893,455782,1599,973,1661,1566,361742
1113,245661,125321,467676,2400,2124,1458,2809,351459
1717,162704,197802,163561,984,2998,1286,2674,297310
3254,410996,314685,499627,2881,2953,786,1339,370590
1061,352023,286767,391654,1009,2673,1896,2495,240583
1342,122639,408161,455691,1441,3991,1495,2859,434605
1909,142919,169717,103109,3431,3772,954,2243,297385
3337,217314,403027,90997,3448,1230,1076,3164,360959
2767,303591,403974,285197,3067,3552,1249,1959,555346
1502,165683,391919,503521,1541,2260,1896,3211,317273
3426,294264,538480,332767,1897,3267,729,2926,516842
3398,417689,270803,313740,1430,1597,1048,1593,533757
1162,433016,265639,402114,2902,3892,1026,2235,360910
2571,148877,169853,292279,2839,2743,1158,3221,144338
3466,441448,412239,553183,2351,3720,1761,1441,116107
2779,287070,274051,331945,1776,1520,1816,2770,98864
3318,362800,127646,475092,1538,2882,913,3108,515234
1256,477091,164425,164613,1175,2606,1664,2490,578928
2596,307650,353272,302252,1699,3145,1676,1368,422911
2933,240287,252002,498075,2897,3345,1440,3277,426465
3167,248019,366910,539630,3380,1847,959,2261,271740
1945,171680,275282,365829,2761,3241,848,1547,304537
2367,439964,205022,571729,1284,2805,1834,2373,207437
2149,214965,152658,528918,2203,2833,1605,2858,560796
2650,206414,210218,426483,3026,2755,1363,1664,197622
2370,445276,432849,331091,1490,2486,940,1917,220845
2927,329805,357219,100233,1179,3988,1874,2562,355608
1445,212765,127130,392908,2941,2917,1437,3266,179701
857,307501,117070,446205,2316,1555,1183,1180,541755
2798,455496,98209,199157,3041,2788,738,1343,519217
3137,413108,166247,278333,1287,3209,998,3290,427276
3350,293667,545226,364197,1502,1179,1175,1220,94932
2220,449417,239841,222206,2742,2266,1467,2351,95665
3210,204065,505166,214301,2851,1670,783,3147,108543
976,143542,389605,339774,1757,3207,1408,1212,479067
1769,236216,349869,155345,1332,1826,1582,2803,575796
1307,467139,99088,277429,2727,3163,1673,1779,229466
3066,233449,457487,143943,2841,2256,1385,2363,301574
2226,112967,111146,363142,1089,2682,1487,3169,384799
898,477384,463381,403091,916,1281,1750,1484,513391
2472,371338,481621,371370,2390,1300,1185,2478,501183
1874,149849,445720,447062,2878,2519,1926,1661,425226
1366,351716,331683,567265,1399,1978,1809,1634,162194
2341,438244,436715,595190,3165,1973,1416,2903,478200
2600,137780,515314,224045,1623,3799,1489,3105,252390
2860,130814,171522,146201,2127,2687,1813,2939,158923
2086,169480,539395,444076,3321,2393,951,2850,106072
3260,461784,460655,512888,2194,3016,1811,3203,497074
2714,146985,310353,574571,1584,2847,787,1759,263980
2069,330955,293703,312011,3453,1487,1241,1120,322670
2825,456399,298113,405660,2320,2098,1649,3167,170911
2358,378411,154715,223414,2786,3201,1973,2683,549795
2490,235934,469067,360169,2400,2139,1530,3285,169482
2119,147954,219795,158517,901,1607,1462,2842,598192
2832,160845,487363,460040,909,2183,948,1637,585137
943,358695,313675,524051,3122,3779,1933,2873,203731
2028,185163,203905,191624,1305,1723,1548,1190,447460
2598,461121,224364,403896,1286,1795,1891,3140,529422
3345,346030,382774,306883,1062,1949,1451,1879,350833
1141,122379,251723,358872,3025,2746,1537,3033,367208
1020,381367,474570,504821,3447,2451,1492,2465,347037
2177,218338,548744,223635,3077,3939,1328,2661,450236
1837,359697,322856,95301,1365,2372,955,3404,441780
2725,234953,315220,313227,1912,1650,1364,2943,189570
3331,422929,501167,337972,2364,2930,1966,3306,474345
3239,466657,484928,582335,1442,3032,983,1837,501154
907,147938,457661,145808,2311,1575,977,3049,333062
1315,310820,508146,432261,2380,2462,1349,2262,599108
2231,311239,179100,594857,1329,2514,934,1791,110684
3480,127574,398893,100705,2219,3303,1585,1118,123814
2507,409777,98694,457945,2812,2798,1841,1120,335798
2189,474519,150911,209273,1293,3143,1683,1728,342062
2653,222464,370657,342887,901,2245,932,2366,523659
2619,398259,209654,393274,2297,1992,974,3222,107783
2106,175566,518289,177369,1786,3346,1195,3376,270685
2580,488195,301983,309602,1303,2913,1604,1597,157837
1097,136202,307581,196751,1432,2029,1229,1156,130592
1598,258960,431561,298917,2194,2682,885,1806,352233
1874,373234,176947,266913,3231,2254,1051,1307,395997
1233,365699,194306,184887,1497,1072,1086,1919,357381
2036,113678,365138,444097,2440,2385,1182,1246,460007
2091,320896,420249,385832,2540,3824,860,1371,163619
1797,448110,141537,193412,3010,1509,1879,1285,251052
1134,402899,106410,271124,3392,1447,972,1104,517696
3126,477486,366797,544392,2346,1343,1252,1701,190871
1975,345202,303822,194968,2998,2737,822,2585,361358
1197,279146,171180,268358,2083,2402,1053,3495,321886
2713,261286,282470,520547,1372,3125,1124,2856,593366
2808,468995,426332,544926,2687,1713,1597,1345,528687
2556,401202,384926,267523,1850,2852,1490,3448,160852
3033,476916,127660,366834,2722,3078,995,3163,158801
3409,319172,353123,215550,3271,3228,1941,2711,131255
856,211568,304643,477030,3028,3051,1506,1137,431174
3277,333878,302475,445016,902,2821,784,2805,162129
2100,297989,227051,404461,3397,3977,1075,2416,155537
3282,357677,460475,420980,1313,3520,1040,2400,234387
3157,331390,390308,510214,3307,3622,1728,2542,209132
2570,406774,123478,202426,3238,1607,1961,3370,336041
3457,304826,266291,577444,2633,1882,1875,2108,486368
2371,253653,129173,359721,3131,926,744,1765,410489
1095,396967,371328,406514,2475,2198,1335,2662,285435
2841,184188,188701,379084,1575,1046,985,2094,407751
810,360331,355000,305308,2107,1206,1145,2358,577627
2593,475940,125042,525054,1487,1857,1254,3483,525784
3190,219214,230384,484539,1033,2052,1399,2118,242078
1258,153706,455336,265928,3010,3717,1164,1842,147202
3102,130861,481996,445637,972,3492,1249,1239,317839
1583,393007,133377,538828,2196,1572,1907,2753,463037
1481,123131,356651,395978,1170,2876,1333,3339,403077
3135,370753,340340,222848,2340,1363,981,2952,300697
951,381378,111552,519560,3251,2632,920,1766,241517
2861,264489,539246,503893,3146,1437,1071,2283,158169
995,406941,348561,112608,2382,2036,1771,3164,320895
2033,370089,454338,376376,2765,3735,1078,2716,137961
2721,276699,319255,205965,1611,3749,1481,2203,478383
2338,215895,187206,326208,2000,2085,986,1141,209203
1189,488326,222295,509414,3069,2930,1929,2996,377770
3099,341072,472819,163732,2618,2243,1644,1386,100429
2287,110000,472166,246822,1382,2824,1547,1762,225499
1546,357810,488890,400346,3083,3851,1015,2779,316726
1709,483327,380011,312910,1902,1379,1046,2746,299979
3339,127840,343317,589951,2993,3921,1709,2195,499175
834,377895,536051,573291,2386,1188,757,1216,293524
3158,440441,298469,95437,1517,3409,744,1913,256190
3406,235970,106616,505262,1120,2191,1354,1471,221035
3405,134744,185938,340458,2974,3485,888,2154,539958
3006,401281,200228,113828,996,1029,1804,2912,583543
2269,409497,359535,230366,2061,2095,1219,3009,456196
909,117631,227792,480363,3292,1196,1382,1824,368431
2109,103988,91044,401725,3200,2737,1543,1287,413447
3235,419709,427082,290321,908,2155,1044,3011,424680
2188,335559,222695,499000,1395,3915,1858,2070,453351
3429,156648,425953,433475,952,3127,728,1541,355210
1839,462423,216403,210986,1141,1027,1562,3165,570782
2752,335551,428947,532125,3348,1606,1875,2067,161894
1801,172215,166466,297656,1216,2202,1337,3004,408358
2346,380864,197402,104439,1956,3179,1212,2867,458669
1801,318881,112877,398185,1796,1987,925,2977,508137
1779,195125,204612,420571,3292,2058,1082,2113,494466
1704,333680,295989,233501,1667,2997,1122,2227,365265
877,299232,409271,143926,2297,3321,1334,3253,526602
1616,203698,233269,567217,1915,3051,838,3229,345591
2719,432820,436999,417900,1332,3950,1102,1881,529061
3169,237981,277396,323177,1200,3096,1439,2244,357056
2268,141750,188321,507877,3468,3402,874,2571,283906
2532,109199,246530,526250,2744,2672,1451,1823,285982
2997,302950,517236,498907,1236,1149,1654,2889,484583
2883,379981,510912,560716,2065,1432,1737,1664,452927
3320,95928,453128,541097,1600,3614,1036,2887,248073
1847,466477,319311,338230,1331,1189,1660,2041,165634
983,163956,526689,207437,1411,2284,1895,2513,123202
1848,117671,185414,94865,3411,3621,1425,3250,567953
3225,471175,223968,268539,3438,2254,1748,1378,364551
2395,111314,154209,461519,1644,2378,822,1585,216265
1922,119457,508153,373396,1299,1861,817,2190,590537
3476,266813,212724,283964,1930,3616,1041,2436,509125
1570,151078,502899,458864,1479,1407,920,1458,457475
2846,169786,414309,294475,2327,2272,1848,2033,332930
1858,334354,313001,492183,1211,3784,1548,1371,404614
1416,301265,224180,201997,1765,3819,927,2433,480837
1976,388650,248418,278446,1104,1193,938,1220,141711
2343,141855,368126,577191,1770,3153,1658,2930,497225
1721,295296,197012,300509,2057,3284,1340,3314,328062
2721,479178,303254,245063,1902,1062,782,1621,127373
2408,294130,530174,162808,2237,2404,908,2619,533827
2043,369238,217170,502311,2431,2992,1403,1497,228204
1099,238180,450793,308152,2780,1186,1358,1122,360900
2569,178477,536565,223827,1213,3217,797,2342,537089
2408,381520,175536,269737,2864,2580,910,3244,266567
3422,478472,231993,379862,2246,2512,1892,2944,450319
1623,273692,205395,207340,2938,2563,1168,1960,107215
3337,250338,208358,444542,1258,1850,821,2894,357564
1842,387646,511196,455958,1927,2021,1493,1172,513064
1882,289822,493627,116533,2843,1801,931,1739,521836
3110,140298,238623,495599,2369,2002,1294,2536,173181
1968,375550,338059,269140,1962,3824,1295,1634,248601
1543,141848,165521,255895,3239,3368,1961,2062,406061
831,431892,499934,453109,2614,2430,864,1486,544982
801,225776,548113,99985,1284,3316,852,1359,541519
3337,281912,529546,596217,2434,2673,1284,3366,398226
2832,201357,388390,221810,2320,2632,1131,1344,416572
1549,234724,466572,594311,3434,1708,1747,3014,350276
1975,337358,257463,336195,1381,1276,1387,1413,390018
3113,93695,220879,448912,1167,1526,1622,1283,116828
2985,257353,348249,303278,1280,3376,857,2829,367248
2046,340523,455006,499667,3338,3826,1988,2780,483356
2726,384229,157563,297573,3467,1834,1135,2208,354380
2882,223943,282384,295538,1089,2341,1956,3150,431202
1920,487339,347451,220882,3136,2361,1857,2163,330362
2317,382338,140683,340041,962,1785,1763,2666,154117
1546,147999,320122,289753,2644,2430,1802,1221,196836
1614,431673,144854,254484,2686,3179,1559,3093,139438
2140,285461,443542,232793,3256,2272,1227,1253,384611
960,416415,378721,279690,1939,2374,1930,2368,194420
2232,379309,160919,598436,2614,3781,1027,2440,440087
830,214809,210920,479521,2420,1539,980,2844,406964
1904,213348,255583,132511,1167,2616,923,1434,415667
2423,191905,504731,575131,3359,1630,1770,2291,469954
1714,368332,387190,224465,926,1924,1599,1644,425674
1937,281693,215342,110076,1916,2052,1610,1167,102329
1666,264352,167504,477471,3366,2868,1408,1658,253323
2867,136697,256885,568728,962,2181,1623,2116,236367
3047,200443,533833,401816,1728,1975,1622,1952,362694
1840,228126,290563,298488,1798,3255,1329,2053,545796
2082,268425,421649,451818,3070,3454,1024,3283,347272
2048,337431,333834,479906,1067,3980,1583,1342,182431
3027,364479,474602,184046,1057,3384,1152,2594,252660
1887,450376,195330,217609,2125,1589,923,3148,226831
3300,453529,123064,156632,1130,3886,1449,1911,125560
1340,110671,397285,434888,2666,1677,1631,2575,209176
2809,230609,184540,334069,2428,2579,846,2172,435263
2141,189785,134838,228237,2475,1606,1943,2754,161770
1115,329343,109328,123400,3458,2773,1632,1736,434560
869,352927,168481,202075,3350,2638,1622,2456,457678
2351,316760,367667,593696,1003,3884,1938,1635,121964
3341,117659,105502,273651,3265,1482,1994,1947,442044
3290,284428,487458,258372,1671,2569,900,2434,216858
2176,301895,276964,479265,2063,2350,774,1182,184852
2923,217380,282254,208416,3080,1556,1014,2309,352990
2832,283945,431192,520786,1370,2298,1428,2645,376616
3491,346820,111110,265985,1675,3703,1175,2716,96858
3484,241374,114901,496412,2375,3060,1098,3325,542598
1446,445864,141972,446228,2382,3730,1035,2453,446661
2992,272357,249421,487441,3399,3648,885,1705,482970
1579,139195,265031,166145,1406,1664,1074,3120,292308
1538,243286,101547,432748,1253,3390,1677,1212,427120
1565,229201,109190,146381,1178,2516,1416,2016,286858
1544,114638,229296,196944,1034,2969,727,1986,388817
1331,122803,536695,455801,1151,3400,992,2321,559974
1262,145664,509919,566958,2967,3871,1610,2710,319013
944,115662,402384,598452,2202,1878,757,2926,505805
2976,222893,346180,158826,3498,2131,1531,3146,281516
2263,349322,180468,564898,2238,912,1893,2494,135499
1673,96926,477913,490735,1894,2690,945,1370,264530
2453,274105,150922,243915,1080,3877,1442,3099,435036
2162,108501,375822,123390,3112,3477,1779,2360,580540
1381,303996,394408,300771,3356,1432,1482,2160,273383
1193,426737,264794,423023,913,3038,1996,1100,307678
1446,106111,275666,186480,1130,2162,1292,1551,452353
2883,98816,439443,215409,1026,981,1563,1254,202785
2428,459241,267847,306276,1922,1346,1763,2057,201050
911,178722,318685,314759,1665,1069,1395,2727,210110
3046,478368,377021,534641,1221,2153,948,1525,233797
1759,136122,416708,156214,3052,2946,1651,1364,491282
1152,149284,505827,124905,1049,2475,1960,3500,228305
2580,319801,446977,327778,1130,2853,844,2868,307856
1184,195548,167191,93101,3312,3829,1947,1116,417243
1476,485126,536149,570563,1500,3102,1370,1396,592158
2152,499750,443499,249992,3339,2825,1866,3423,332544
1783,263182,348704,246826,2852,2958,1411,2184,372285
3478,235605,465843,523001,1128,3489,1817,3347,116911
3357,251283,161776,426445,3470,1469,872,1571,286594
2796,160292,264167,547159,1483,3246,895,2846,593906
2319,112527,413566,90615,2057,1470,812,2080,308768
1867,187604,296738,528759,2045,1647,790,3294,344296
1510,173909,210212,243717,2080,2782,1448,2825,243388
1664,200955,144726,404324,3440,1044,1945,1825,190527
1871,461873,175112,177355,1520,2389,846,3070,456606
934,97766,293735,511794,1739,3360,789,2121,210514
2472,427548,145085,384877,2033,3828,905,3430,593650
3460,173306,411164,310061,1906,2308,1588,2637,292818
1026,478466,456070,218396,3409,1584,747,2788,345741
1686,476928,150561,382942,3347,2660,1927,1282,121351
1507,311023,541957,331051,1945,2022,818,2558,188837
2918,236124,540978,173866,2186,3562,987,2435,139443
3044,281324,408045,385186,937,3563,1881,1421,351437
3226,427314,406839,159130,2842,3619,1747,1950,97532
2463,101306,231288,395295,2523,3597,869,1693,199808
2839,366587,522595,572835,2791,2177,735,1496,441816
1691,147823,394389,95585,1289,1163,1133,2831,337029
1663,446506,257273,352364,1131,2433,823,2643,280049
1532,202790,458228,230378,2633,999,1348,3059,206180
1973,356565,110215,219416,2866,3477,1190,3366,370054
2122,384167,126802,275918,3126,3372,1423,1269,208227
2123,437289,252695,137570,2427,2406,1481,1464,209424
3432,401345,414355,220566,1598,1010,1468,2395,207333
2281,132586,95149,218779,2467,3542,1227,2421,483508
2745,176176,428447,320204,2818,1474,1345,3236,518991
3209,170165,340810,330686,3256,3054,1637,1349,335302
2497,488979,207505,260562,3384,1387,1219,1971,196011
2069,177459,230332,522684,2744,3225,1828,1288,333577
899,254253,361651,574864,1700,2791,1872,2930,299973
2972,328588,397210,273249,2091,1410,724,1841,281620
3100,320887,358783,326020,2737,3862,750,2336,405192
881,251193,301500,576933,3083,3407,1004,2489,464866
3077,210552,112266,255829,1041,2539,878,2327,191881
2903,302859,398801,213990,2031,3309,1103,1929,259079
2737,394817,487955,531474,2188,3802,924,2105,465022
2949,151227,342907,557298,1849,2128,1969,2828,384398
3379,363222,349644,101193,1087,1920,1244,1882,97549
1199,313739,518306,371919,2362,2545,1174,1350,567137
1690,415016,306435,446602,2786,3187,917,2582,505712
2224,252330,344922,570843,2460,1504,1423,3235,514296
3409,140213,209341,578679,1293,1149,878,2545,478794
2352,236819,280001,577515,3361,3901,1710,2361,593886
2760,427061,466456,310698,1868,3381,1616,1677,392896
1975,446422,424719,470210,2721,3346,1928,2084,119201
2078,480200,123106,245846,2715,1727,1795,2665,410137
1292,126421,199657,175720,3332,1298,920,3389,224106
873,134767,117860,556022,3374,2492,1508,2438,511035
2669,422103,445301,103502,3244,3882,1478,1381,252723
2972,416374,101531,317789,3326,2945,1190,2973,171738
1223,202207,95397,380467,3215,2256,749,2027,127217
1317,489734,292928,466317,912,1623,1382,1512,90306
3260,325460,399228,153362,1599,928,1650,1892,573898
2724,492402,548250,286782,1770,3164,1459,1770,501027
2460,305369,261101,313008,2613,2431,899,3470,360414
1994,360586,223539,294382,2347,1071,1824,2785,385405
3129,128669,179998,347049,1302,3457,1779,3347,256748
3055,282049,141144,280673,2444,1493,1448,2288,98879
2950,207449,190739,404676,2778,2331,1316,1250,248335
1064,234652,251002,365648,1264,3483,1046,2743,269124
2518,409620,186388,268599,3285,3370,1292,3391,421677
863,96428,469183,599720,1207,1293,1598,1567,370682
2246,358846,535251,330025,3495,2399,1059,1783,128782
2091,164543,423131,97642,2312,3434,1291,1470,531682
3192,314852,410787,285564,2299,2602,1874,2550,145296
2595,177146,295073,320945,1910,3840,1101,2670,366468
854,207965,169499,219676,3397,1083,1147,1864,94758
1277,204207,548407,542296,3218,3191,1710,1509,148789
1352,223998,393451,267769,1650,2518,989,2388,530135
2069,362979,127255,485754,1084,3132,1747,3498,590225
3199,440012,149603,325746,1471,3756,1185,1119,348554
974,403155,134487,532394,2045,1810,1320,1325,380056
2365,336605,221530,423522,2269,3141,856,3275,341555
2052,327050,428491,125841,1682,3240,1506,2241,132087
3203,249273,309069,462412,1489,2909,1660,3194,388433
2534,259008,435207,114417,2560,3298,1885,2994,326155
3064,420211,234207,132433,942,1794,1247,2662,94737
1660,260044,312478,510927,1749,3866,805,3003,471957
2304,323240,405198,169947,3328,976,1782,3029,158646
1300,162509,124196,578348,3050,1575,853,1330,184135
1523,371777,523081,540109,1317,3462,1581,2689,137756
912,370378,419504,502137,1850,2439,1782,1383,166903
1104,266651,295203,92124,2959,3218,1282,2681,169531
1838,232406,210524,355622,3373,2157,1759,2456,421645
2675,176907,261474,209901,3397,3344,860,3064,211523
2569,279528,194940,168125,1353,1103,1085,1458,319716
3096,181916,216255,421353,2996,3376,1894,2675,312540
3479,115536,393039,379072,2554,3720,1699,1250,230586
3202,266636,379056,476494,1282,3049,1640,2211,531592
3370,124519,334724,323609,1623,2282,1617,1318,230314
2270,357483,233349,567681,3124,2139,1257,2012,380236
984,348985,378320,422307,2217,2041,710,1513,196428
1238,217787,231932,568473,3175,2454,995,1898,94669
1706,220661,179762,127425,1968,3764,1990,2684,496345
1849,446055,499915,508046,3159,3572,1585,3223,524019
1330,423418,390024,580459,1730,2224,1926,2187,211066
1263,149067,244542,540394,1959,3569,1375,1628,255560
3151,165693,372119,510260,3095,3506,1359,1631,592077
1104,378059,309268,155188,2835,3597,1140,1266,292781
854,115432,549411,474209,3116,3278,1184,2899,439234
2692,116785,389694,269182,1766,3414,1986,2149,406472
2429,477050,203676,324534,3066,909,1773,1591,300609
2914,158765,178591,277439,1732,2752,830,1489,175349
2801,320830,348868,93198,2174,2952,1766,1855,321088
2587,481661,441251,502752,3437,1328,1369,1401,492443
2794,103417,415988,241391,1208,2281,1225,2920,185639
1654,292507,433759,552514,3356,2212,1616,1395,279245
3047,386135,414963,387400,2832,1298,893,1597,139503
2522,208402,115226,153060,3164,910,1123,1376,538033
1741,362239,408804,580361,2050,3101,1047,3436,594375
2921,432636,239135,165478,1643,2776,1619,1831,408212
2757,291589,515022,108754,2814,988,1903,2924,206982
2468,328278,272769,545014,2183,3480,1770,2424,124312
2529,293547,170890,258705,3185,3405,909,1755,551746
1485,318811,442571,117937,2155,2597,1071,1707,173296
878,349001,492642,302720,3022,2922,1621,1676,413590
1467,90089,178930,488904,2178,2801,1920,1143,335999
1323,202571,269352,222142,2809,2303,1777,2458,233163
3320,209812,121938,376618,1995,3819,1450,2927,394120
970,200746,275328,344104,3271,3291,1033,3193,392280
2065,167899,114067,277354,3235,1799,1619,2053,252695
2592,98594,546001,469084,1408,1677,1104,2684,554889
1833,429551,505670,580441,2892,1040,1070,3107,435109
1217,115565,111682,365743,3418,3525,1722,3208,548053
2533,230071,235197,456254,2491,1399,714,2712,130855
1455,483247,216136,406956,3193,2193,1455,3140,242320
2844,114151,311156,156914,939,1463,1902,1525,107154
3315,101821,263173,515137,2842,2409,1597,1151,226630
3122,304939,129010,203453,2667,2252,1841,1407,220751
3413,176530,103222,495077,2936,2706,1695,2325,597801
2216,431034,285865,259575,2251,2777,1470,1504,182955
3030,464351,245668,284201,3136,990,1903,3129,265084
1319,327923,447127,503184,1473,2440,1780,1674,176926
2864,361527,134287,298017,1931,3240,1268,1670,299180
1761,283594,170150,358507,1539,1928,1016,2522,320153
803,301548,492089,117126,1749,2651,996,2997,282523
1953,174959,406088,293566,902,911,1306,2717,223687
2355,493959,129247,356778,2000,3140,781,2639,167868
3310,488716,263802,324713,1174,3078,1596,3174,220364
3441,433633,127848,473529,941,2222,1411,2186,368871
1527,253027,238370,107350,2206,3513,1837,2685,96285
964,260962,285680,273475,1055,3984,1494,1449,518157
2998,442530,275013,210978,1295,3137,1388,3171,493021
3069,170736,374719,268498,1621,1661,1616,3259,440807
1392,375898,511638,180121,2825,1452,1256,1516,469922
1247,386317,538907,554577,1992,3885,1065,3379,516165
2159,197304,510724,330818,1176,2168,1847,3370,408124
825,249538,511351,151926,3046,3395,1317,3018,258656
2549,380872,505748,344913,3091,3327,726,1649,295591
1692,382241,342056,381689,932,2589,1472,2611,494080
1726,259203,459389,304495,2895,1368,1542,3273,295503
3019,189120,348311,447786,1098,3760,826,1589,203786
2161,355404,499317,558531,1547,3036,1924,2974,416948
1745,427614,181419,562354,1401,1478,1825,2603,571542
1346,154041,314514,452134,2820,3637,1621,1871,437496
2131,450398,518436,510869,2235,1311,1856,1300,151559
3307,424415,93450,548788,1199,2958,707,1442,420925
844,357276,119065,329165,2083,1685,1959,3168,302760
2783,493127,205546,436890,2717,2683,868,1755,577733
1852,324532,402967,378105,3063,2387,1208,1113,462842
2129,404731,429524,406494,2215,1556,1350,2746,496352
1919,208196,391299,364339,3326,1627,1211,2755,382568
3243,301021,256608,439981,2546,1518,1935,3099,316923
1724,458095,545704,563115,2729,2658,1378,3196,514072
3249,368343,546604,241974,2696,1855,1677,1461,363169
2325,202625,394079,506992,1991,2436,1833,2552,398510
1314,495311,364166,119146,1436,2764,1744,1204,450699
2756,341766,353092,508117,2833,3700,750,1650,407196
3416,340164,415438,127623,2237,1452,1947,2283,429205
1836,417086,473771,192173,2186,1306,1322,1560,585543
1626,341233,434659,408327,3257,1833,1794,2324,250240
3478,426834,152890,130965,1760,2378,1879,2158,151498
3498,287885,268662,466076,2221,2313,1212,2487,253027
1393,410905,124123,486243,2619,2920,1747,2899,183295
2580,389004,297243,442028,1998,3531,1179,3019,313215
961,290503,379522,195810,2475,1494,1379,1211,425154
1722,201448,363906,350852,1956,1211,1636,3429,406351
1558,383273,145571,178445,2913,1438,761,1669,482249
1875,317432,323491,307680,2196,3699,1083,2481,120503
2954,325829,334787,196969,3171,1116,1031,1192,490397
3187,91430,509800,111617,2350,1398,739,2045,591426
3016,250355,406646,334266,2562,3844,1308,1555,357490
2381,393440,187317,337775,1490,2735,1789,3034,228377
2072,371881,274657,94751,1396,2921,1495,1589,571277
1970,465090,330893,244756,2805,2828,1055,2257,300102
3327,378947,509924,486587,2801,1508,1780,1167,391384
3341,397416,475696,568749,2809,3237,1063,2935,224722
1456,394716,185898,157594,3028,2458,1066,1932,380552
2738,220318,394699,465103,2857,2733,1562,3449,568758
1862,107884,190781,551642,2312,3190,1483,1387,132778
