Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag
98549,38025,,1,,,,,,,1,1,0
8394,36425,1,1,0,1,0,1,,,0,,0
13636,62329,0,1,,0,1,,,,,1,0
48661,15839,1,,0,,1,0,1,,1,0,1
30721,71317,1,,0,0,,,1,0,0,,1
16440,47170,1,,1,0,0,0,,,0,1,
2453,90403,1,1,0,1,1,,,1,1,1,1
93834,45233,,0,1,1,1,0,1,0,,1,1
41640,61397,0,0,,0,,0,1,,1,,1
37147,11486,,1,0,,,0,0,0,,1,0
8323,55272,,1,,1,0,1,,,,1,
43124,27073,,,1,,,0,,0,1,1,0
69024,37867,0,,,0,1,1,1,,1,1,
46141,19104,0,,,0,,1,1,,1,1,1
86800,21022,,,,0,1,,,0,0,,
81822,51404,0,1,,1,1,,0,1,1,0,0
42388,52250,,0,1,,,,1,0,0,,1
6699,53234,,0,1,0,,0,,,,,0
25818,16195,0,1,,,1,,0,,1,1,
97047,53315,,0,,0,0,,1,0,1,0,
5665,21549,1,,0,1,,,1,1,0,0,0
8335,52999,0,,1,1,1,,,,1,,
17977,45242,0,0,,1,1,1,0,1,1,1,1
7621,6017,0,0,1,1,0,1,1,,0,1,
80159,61203,1,1,1,1,1,1,0,,0,1,0
71315,52346,0,1,1,1,1,,0,1,1,0,
11327,51903,0,1,1,1,,1,,,,1,1
39407,44184,0,,1,,1,1,0,,1,1,1
62048,56835,1,1,1,0,0,,,,1,1,
68117,39427,1,0,,,1,0,1,,0,,
67784,20880,1,0,0,0,0,,,0,,,1
86913,60849,0,,0,,1,1,,1,0,1,
75513,72730,,1,1,0,,0,1,,,,0
20033,63412,1,0,0,,1,0,1,0,,,0
21864,35557,,,0,0,0,,,1,0,,0
39394,87147,1,0,1,0,0,,1,,0,0,1
82777,99271,,,1,,0,,0,0,1,1,0
50721,76499,1,1,1,1,0,,1,0,0,,1
74432,40265,0,1,1,0,1,0,0,,1,,
44483,67946,,0,,0,0,0,1,,,,1
68530,87069,1,1,1,0,1,1,0,0,,0,
88989,26685,0,1,,1,0,,1,1,1,0,0
78053,45986,0,1,,0,0,,1,,0,1,1
49828,17114,,1,1,,,0,0,1,0,0,0
95307,7374,1,0,1,1,1,0,1,,0,0,1
57980,40642,,0,,,0,0,,,1,,1
47563,36577,1,,,0,0,1,1,0,1,1,
2586,3235,1,1,1,0,0,1,0,,,1,1
65654,25128,0,1,0,0,1,,1,0,,,1
85754,87975,0,,1,1,1,0,1,1,,1,
99280,73454,0,,1,1,0,1,,0,1,1,1
66255,64845,1,1,,,0,0,,,0,1,0
12053,59363,0,0,0,1,0,0,,1,0,,0
99140,90691,1,0,0,0,0,0,,0,0,0,1
29539,44970,1,1,,,,1,1,1,,0,0
76808,79432,1,1,1,,1,1,0,1,0,0,
8609,8106,0,,0,1,1,0,0,0,,1,0
25203,79662,0,1,1,0,,0,,1,0,,1
13783,37065,,1,0,,1,0,1,0,0,1,0
18529,21586,1,1,1,1,1,0,0,,,,
81757,2934,1,0,1,0,0,0,,1,,1,0
68228,68440,0,1,0,0,,1,0,0,1,0,
37245,64705,,1,1,0,0,,1,0,1,0,
28411,44863,1,1,0,1,,0,,1,,0,1
91525,22346,0,,0,0,0,1,0,1,,0,1
61388,34411,0,1,1,1,,,0,0,,,0
88225,42509,1,,1,,,0,1,1,1,0,
82097,55873,0,0,,0,,1,1,0,0,0,0
75695,71016,,1,0,1,1,0,,1,0,0,
12662,76828,,0,,1,1,,,,,,
10699,14971,1,0,1,,1,,,0,,,1
60295,49960,1,,0,1,1,1,1,0,1,0,0
79916,57947,1,1,1,1,0,1,1,,0,0,
63333,63757,1,0,0,1,0,1,,0,,1,0
40258,94497,1,0,0,1,,1,0,1,0,0,0
20092,66007,0,1,1,1,,,1,,,,
41648,28151,0,,,,,1,,,0,1,1
71650,81562,,,,1,,1,0,,,1,
89908,31138,,1,,1,0,0,,1,0,0,0
63944,66602,,,1,0,0,0,0,0,0,,1
22459,77529,1,,1,0,,,0,0,,0,1
62222,79011,1,1,,1,0,0,1,,0,0,
18148,3027,0,0,,,,1,,1,1,,
64298,48783,,0,,,0,,,1,1,,
75893,61107,0,,0,0,,1,0,,1,,1
70376,97706,0,1,,0,1,,0,0,1,0,0
35837,58522,1,0,0,0,1,,,0,1,0,1
39299,78591,0,0,1,1,0,1,1,0,1,1,0
98252,16599,,,1,0,1,1,,1,0,0,
9017,53667,,0,,0,1,0,,0,0,0,
40666,32918,,,,1,1,0,0,1,1,1,
16272,9954,0,,,0,0,,1,0,0,,0
86130,73426,0,1,0,,,,1,1,0,1,1
68385,84921,1,,,0,1,0,,1,1,0,
59778,72510,1,1,,1,1,,1,1,1,,1
87417,91680,0,0,1,0,,,1,,0,0,
68333,39304,,,,1,1,1,0,0,0,,
11336,81901,,0,,,,0,,1,0,,1
41569,12797,1,1,0,1,1,0,1,0,0,1,1
69354,12532,1,1,0,0,0,1,0,,0,,0
54139,71422,,0,0,1,0,1,1,1,0,0,0
66043,31874,0,,,,1,,1,1,0,1,0
91142,84096,0,1,,0,0,,1,1,,1,1
12278,99148,1,,1,0,,0,0,,,0,
10220,20137,1,0,1,,,0,0,0,,,0
96765,94365,,1,,,1,,0,0,,1,1
69438,66436,1,,1,1,1,1,,,,0,0
4909,17124,0,1,1,,0,0,1,0,,0,0
54200,49951,,1,1,1,,0,1,,0,0,1
77874,59731,0,,,1,0,,,1,0,,
98328,79455,1,,0,,,0,,1,,1,1
62742,82689,0,0,,0,,1,0,0,1,,
95212,7823,,0,1,0,,1,,1,1,,
16891,95164,0,1,1,0,0,,1,,,1,
16953,88887,1,,0,,,0,,1,1,0,0
83352,77712,1,0,1,0,0,0,,1,,1,1
20196,67093,,,1,1,1,,1,,,1,
18746,82757,0,1,1,0,1,1,1,1,,1,0
15,43275,0,1,1,,,0,0,1,,1,1
59683,97674,1,1,0,,0,,1,,,1,1
16569,34929,,1,1,0,1,0,1,1,,,
25642,75839,,0,1,0,1,,0,1,1,0,0
91941,57870,,,,0,1,0,,1,1,1,1
77015,63882,0,,1,0,0,,,,1,0,
78274,72539,,0,0,0,,1,1,0,0,0,1
51243,47467,1,,1,0,1,1,,,1,,1
75334,83475,1,1,0,0,1,0,,1,0,,1
24338,61580,1,,,1,1,,1,1,0,,1
30665,48766,0,,1,,1,1,1,1,1,1,0
80219,38248,,1,0,1,1,,1,1,1,,
43039,27764,,1,1,1,1,1,1,,1,0,0
71506,5224,,0,1,,0,,1,0,,,1
21147,37745,0,,,0,0,0,1,1,0,1,1
73409,17045,1,0,0,,,1,0,1,0,0,0
88336,26033,1,0,0,,,0,0,0,0,,
3689,27466,,1,0,0,0,,0,,1,1,
39336,76075,0,,1,1,0,0,1,0,1,0,
49099,92661,,0,,1,0,0,1,0,,,0
55807,30314,1,,,0,1,0,1,1,,1,0
93807,70744,,,1,1,0,,1,0,,,1
94825,12587,0,,,1,,0,,1,0,,1
98184,43894,0,0,0,,0,1,0,0,1,0,0
98837,12387,1,0,1,1,1,,,,1,1,0
36205,76670,1,1,,0,,0,1,1,,1,0
75800,100,1,1,,,1,,1,0,0,1,1
80113,84853,1,1,0,0,1,,1,,0,,
944,88037,,,,1,1,,0,1,,0,
43015,19235,0,1,,,0,1,1,1,,,1
94594,3837,0,1,,,1,1,0,0,1,1,1
75106,36968,1,0,,0,0,,0,0,1,1,
12945,77053,,1,1,,1,0,1,1,1,,1
86462,26346,0,,0,,,0,0,1,1,0,1
51288,16189,0,1,,0,0,1,0,1,1,,1
99559,44993,,1,0,1,,0,1,,,,
6224,40923,0,0,1,1,,,0,0,0,,1
62933,57835,1,0,1,1,1,1,,0,0,0,1
97791,67883,,1,1,,1,1,,1,0,1,1
61105,21899,1,0,1,1,,1,1,1,,0,
78930,43799,1,,1,0,,1,,0,0,,0
42079,5078,0,,0,1,,0,,1,1,1,1
80423,66462,,,0,1,,0,,,,1,0
20811,52421,1,1,,0,,1,,1,,0,
56157,95938,,0,,,0,0,1,1,,,1
21159,79702,0,1,1,0,0,0,0,1,0,,1
44890,7626,0,0,,,0,0,1,,,0,
68560,20972,,,,,1,,,0,1,0,0
15400,78415,0,0,0,0,1,0,,1,,0,0
16892,28901,0,1,0,,1,1,1,,0,1,0
44065,75043,,0,1,0,1,1,,1,1,1,1
14731,56154,0,1,0,0,1,,,0,,0,1
49408,19913,1,1,0,,,0,1,0,1,1,
39333,10113,0,0,,,,0,,0,0,1,
2333,57204,0,0,,1,0,1,,,1,1,
67560,71447,1,1,,1,,1,,,1,1,
55493,84366,,0,1,0,0,1,0,0,1,0,0
15119,79438,0,,0,1,1,0,0,1,0,0,
89971,44329,,0,,,1,0,1,0,0,0,1
64734,34650,0,1,0,1,0,1,1,1,0,0,0
90459,11873,,,1,,1,0,,1,0,,1
43233,96172,1,,0,0,0,1,1,0,1,0,1
32908,27592,0,1,,,0,1,1,0,1,1,1
24227,22540,0,0,,,,1,,0,,,0
90314,72685,1,0,1,,1,0,0,0,1,1,0
95939,61404,,,0,1,1,0,,1,1,1,
40984,76391,1,1,0,1,,1,,,,,1
64730,96815,,0,1,1,,0,,1,0,,
15615,26247,0,,1,,0,,0,1,,,0
53150,60049,0,0,,1,1,0,0,1,0,,0
57543,74305,0,0,0,1,,1,0,0,1,0,0
39046,90788,1,,1,0,1,,0,,1,,
85380,94955,0,1,0,,0,,,0,,,0
17430,86267,,,1,0,1,1,1,0,1,0,1
60943,87586,0,1,0,0,1,,0,,1,0,
63879,80239,0,0,1,,1,1,,1,1,1,0
83953,79454,1,0,,,,1,,,1,,1
51784,56086,0,,,1,,0,0,,,1,
47217,48952,0,1,1,,0,,1,1,,,0
76973,21010,,,1,,,,0,0,1,,0
97660,93274,1,1,0,1,,,1,,1,0,0
51663,435,0,1,,0,,1,,,1,0,
27567,42374,0,,0,0,,0,1,,1,,1
77982,82336,0,1,,1,1,1,0,,0,,
33506,79710,1,1,1,0,,,,0,0,1,
36078,18061,1,1,1,0,,0,0,,,,0
24609,27232,,,,0,,,0,,1,1,1
30653,72170,0,1,0,,1,,0,1,,0,
42225,80041,0,1,0,,,0,1,1,0,1,0
10841,3964,1,,0,0,0,,1,,,,0
53920,11466,,1,0,0,1,1,,1,,1,0
70631,89948,1,0,,,,1,1,,0,,
97183,2926,1,0,0,0,1,,0,1,,1,
57169,29687,,0,1,,0,1,,,1,0,0
12158,43404,1,,1,,0,0,,,1,,0
38433,61069,1,,,1,,1,,0,1,1,0
10592,80953,0,0,1,1,1,0,0,0,,0,1
22564,70807,0,0,0,0,,1,,,1,0,
4367,56169,0,,1,0,,0,0,1,0,,0
6297,42413,1,0,,1,0,0,1,0,1,1,0
56791,10550,0,0,,1,0,,,,,0,
92673,69247,0,,0,1,0,1,0,1,1,1,0
83903,24154,,,1,1,,,,0,0,,
17328,98518,,,,,1,1,1,0,1,1,0
82749,17532,0,1,0,0,1,,,0,0,1,0
94953,5341,0,,0,1,1,,1,0,0,1,
54353,95144,,1,0,0,,1,0,1,1,0,1
45420,40031,,0,1,1,,0,,1,1,0,
79796,56784,,,0,0,0,,,1,,,
70593,28874,1,,1,1,0,0,,0,0,1,
53940,7212,,0,1,1,,,1,1,0,,
86168,29435,,0,,,0,,0,0,1,1,1
21118,82356,,1,0,1,1,0,,,,1,1
61926,993,0,0,0,1,1,,,1,,,
3716,62546,1,1,,0,,0,1,1,1,1,0
80313,36071,,0,,0,1,,0,0,0,1,
87072,58619,0,,0,1,,0,0,0,0,,1
41098,27089,,,0,,1,0,1,,,,
53751,84171,1,1,1,0,1,1,0,0,1,,
21534,27606,,0,,0,1,0,0,,1,0,
2602,18332,1,,,,1,1,1,,0,1,0
34554,23833,0,,0,0,1,1,1,0,,0,
88361,73668,1,0,,1,0,0,1,,1,0,
32796,36763,1,,1,,0,1,0,,1,1,
66943,33060,0,1,1,,,0,1,,,1,1
2063,36267,1,1,,0,0,1,,0,1,1,0
54023,75701,0,1,1,1,0,0,0,,,,0
46457,4511,,1,1,1,0,1,1,,,0,1
49165,3960,,0,0,,1,,0,0,0,0,
32151,53206,0,1,0,,1,0,1,,0,,
49580,48400,0,1,1,,0,0,,1,0,,1
76124,44835,0,,0,0,1,,1,,1,1,1
20089,38231,0,0,0,0,1,1,1,0,,0,0
42007,22518,,,,,,0,,1,0,0,1
87357,56962,,1,,0,,,0,1,0,0,1
98165,57279,0,1,,,1,,0,0,1,,
18006,8104,0,,1,1,0,0,0,0,,1,1
14141,14459,0,1,0,,1,1,1,0,1,,
70881,23409,1,0,0,0,0,,0,1,,0,1
13719,11881,,,1,,1,0,1,1,1,1,0
85235,36160,1,0,1,1,,1,0,,1,0,1
51316,91956,1,0,,,,,0,,1,1,1
97728,18123,0,0,0,0,1,0,,,,0,0
60536,61157,,,0,,1,,1,1,0,0,
20082,31030,,1,0,,0,,1,,,,1
70617,74212,0,0,0,1,,,0,1,0,,
44894,27074,,0,,0,1,0,0,,1,1,1
21423,22878,1,0,1,0,1,,,1,1,,1
36747,59870,0,,0,0,1,,0,1,0,,0
94955,55993,0,1,,1,0,,1,1,,,1
15925,64619,1,,0,1,0,0,,1,0,,1
32160,94223,,1,,0,,,1,1,1,,0
19892,70975,0,,,0,0,0,,,0,1,1
60209,20141,1,0,,0,1,0,,0,,0,0
67387,99428,,,,,1,1,1,,,1,
5651,23625,0,1,0,0,,0,,1,1,1,1
1568,66034,,1,0,,,1,0,0,0,0,0
60706,95412,0,,1,,,0,1,,,0,0
4740,3825,0,,1,,,0,,1,,0,
88444,29001,1,,0,0,,0,1,1,,,0
2997,96448,0,,1,1,1,,1,1,0,,
65659,54902,0,1,,,0,1,1,0,0,0,1
74069,96012,0,1,0,1,1,0,,,1,,1
30283,5525,0,,1,0,,1,0,0,,1,1
10530,68654,1,0,1,,,0,1,,0,,
50039,40174,1,1,,1,,1,1,1,1,1,1
5093,57084,0,1,,,,0,1,,0,1,1
75197,1305,0,1,1,0,,1,1,,,1,1
83870,14522,1,0,0,,,,1,1,,0,0
37425,86635,1,1,,0,1,0,,0,,,1
29871,96932,1,0,,1,1,,,1,,,0
18743,89838,0,0,0,1,0,1,,1,0,1,1
89781,39251,0,0,,,,,0,,1,1,1
31125,84439,0,1,,,0,0,0,1,0,1,1
87977,41880,,1,0,,,,1,,1,,0
67584,80097,,1,,0,0,,0,,,,
8008,40769,1,0,,,1,,1,,,,0
66459,87068,0,,0,,0,,,1,1,1,1
83500,9631,0,1,1,0,1,1,0,,0,0,1
94213,73426,0,,,,1,0,1,1,1,,0
80267,14177,1,0,,1,1,1,1,1,1,0,
54237,71345,0,1,1,1,,0,,0,0,,0
51907,20510,1,0,0,0,,1,,,1,1,0
8209,97288,,0,1,,1,1,,1,1,1,
36996,87455,1,1,1,,0,0,1,,1,0,0
91320,60627,1,,0,1,0,,0,1,0,1,
83305,34485,0,1,1,1,1,,0,0,0,1,
48542,89251,1,0,0,,1,,,0,1,,0
52397,53721,0,0,1,1,0,,,,1,1,
97059,40105,0,0,0,0,1,1,1,,1,,
81577,34387,1,1,1,1,0,1,0,0,1,0,
1062,49561,0,0,0,0,0,0,,0,1,0,0
97849,14996,1,,1,,1,,1,,1,1,0
95864,8827,0,1,1,0,0,1,1,1,0,0,0
30923,3660,1,1,,0,,1,0,0,,,1
62385,23494,0,1,0,0,0,,,,1,,1
933,76096,1,0,,1,1,0,,0,,0,1
61838,25999,0,,0,0,1,0,,0,0,0,
10497,33833,,,,,1,,,1,1,1,0
5434,71737,1,1,0,1,0,,,0,,0,0
65221,75840,0,,1,,0,,,0,1,0,
47486,62301,0,1,1,,1,1,0,,,0,0
35502,19762,0,0,,0,,,0,0,1,,1
91872,13412,,1,,0,,1,1,,1,1,
96149,81633,,0,0,1,0,1,,1,0,0,1
62360,58212,0,1,0,1,0,,0,,,,
80814,19394,1,1,0,1,1,0,0,0,1,0,0
25799,48596,0,0,1,,0,0,,0,1,,
15929,32248,,0,1,1,,1,1,1,1,0,1
23222,88656,,,1,0,,,0,0,0,1,
51037,50763,0,0,1,,0,0,,0,1,0,
67582,45716,,0,0,0,,1,1,1,,,0
61245,29210,,0,0,0,,1,,0,0,0,1
90366,89129,0,0,1,0,0,1,1,1,,,
34513,8480,0,,1,0,1,0,0,,0,0,0
84089,70611,,1,0,0,0,0,1,1,,1,
99228,88831,,0,,,1,0,1,1,,0,
35133,18558,0,0,,0,,,1,1,,0,1
80900,95359,,1,0,0,0,,0,0,,,
34247,34355,0,1,0,0,,,,0,,0,
73156,81123,0,,0,,,0,1,0,,,0
58703,63745,1,,0,,1,0,1,0,0,0,0
14977,35558,,1,1,,0,,0,,1,0,0
98128,47378,1,,,1,0,,0,,0,0,
43884,31110,0,0,1,1,1,0,0,,0,,1
10915,13905,1,,1,,1,1,0,,1,1,1
11212,49557,,0,,1,1,0,,0,1,1,0
2000,22564,1,,0,0,0,1,1,1,0,,
79138,95254,1,0,1,,,,0,1,0,,
33618,72153,1,,1,1,1,,0,0,,1,1
98448,41586,0,0,,0,1,1,1,,,1,
58760,5442,1,,0,,0,1,,1,,0,1
7128,96937,,,0,,0,,1,,0,1,
90294,87578,0,0,1,1,,,,0,1,0,1
44276,84522,1,0,1,,1,1,,0,,0,0
39886,11994,1,,0,1,1,,0,1,,1,
1369,33379,0,0,1,1,,0,1,1,0,0,
85411,94353,,1,0,0,0,,0,0,,1,
17681,95294,1,,0,0,1,1,1,0,0,,0
41233,79349,1,0,0,0,0,,0,1,1,0,
37850,77678,0,,,,0,,,1,0,1,0
47132,40163,0,,,1,0,0,,1,1,1,1
99296,29666,,,0,,,,0,1,1,1,0
9479,25173,0,0,,0,,0,0,1,1,,1
4030,64182,1,1,0,,1,0,0,,1,1,0
47424,19360,1,0,1,0,,0,,0,0,,
12244,76556,1,,1,,,1,,1,1,,1
7955,11638,1,0,,,,0,1,1,0,1,0
59668,32010,,,,0,1,0,0,1,1,0,1
93803,75415,0,0,0,,,1,,,1,0,1
63689,61446,1,,,0,0,1,1,,,0,0
57124,16526,,1,0,,,0,0,0,1,,0
40154,22542,1,1,,1,,1,0,,1,0,
59868,39315,1,,,0,,,1,,,,1
22988,5995,,,0,1,1,1,,,1,1,1
20993,76845,0,,0,0,0,1,0,1,,,
28347,82787,0,,1,,1,0,,0,,0,1
65346,36927,,1,0,0,1,1,0,0,0,0,0
11531,69108,1,,,1,0,,1,,,,1
79017,37522,1,0,0,0,1,,0,,0,1,0
87600,89733,,,,0,0,,0,1,1,0,1
85298,50595,0,,,0,0,0,0,0,,1,
81157,45722,0,1,1,,1,,1,1,1,,1
24142,59182,0,,,,0,,0,1,1,0,0
1590,11198,1,0,1,,1,1,1,1,0,1,0
71861,41377,,,,0,1,0,,0,0,0,1
45669,32002,0,1,,1,,,,,0,0,0
26810,94502,0,0,,0,0,0,0,1,0,0,
24428,23385,0,,0,,0,0,,1,1,0,0
77666,93242,1,0,,1,,0,1,,0,1,1
37526,41826,1,1,,,,,0,0,1,1,
23972,69515,1,0,0,1,,1,,,1,,0
21663,35790,1,,,0,1,0,,1,1,0,1
32640,18689,0,1,,,0,1,0,0,1,1,1
49739,2198,,,0,,1,,0,1,,1,1
9624,33900,1,1,0,0,,0,0,1,,1,0
59182,91626,,1,,0,,0,1,,1,1,
83950,91439,0,0,0,1,,0,,1,0,0,0
32306,80877,0,0,1,1,,0,0,0,,0,0
97732,43541,1,,,,,1,,,1,0,1
16715,31615,0,0,,,,1,0,0,,1,
51228,14207,0,0,1,1,0,,0,,1,0,1
43053,41548,1,1,1,1,,,0,1,,0,
94413,32309,,0,1,1,0,1,,1,,,
79016,41457,0,,1,1,,,1,,,1,1
27086,64621,,,1,1,1,0,0,0,,0,0
47453,87476,0,0,0,,0,,1,1,0,,1
18154,87732,,1,,1,1,1,1,1,0,,
88974,32178,1,,1,,1,,1,0,1,1,1
87100,34193,,0,,1,,,,,0,0,0
65707,54228,1,,,1,0,1,,0,,0,1
56694,52391,0,1,0,,0,,0,,0,1,1
3387,3082,,,,0,,,0,0,,,0
75653,22021,,,1,,0,1,0,,,0,1
48160,257,1,,1,0,1,1,0,0,,,0
36980,10052,,0,,1,,,,0,,1,
15861,20308,,0,1,,,1,,0,,0,0
42866,21516,0,1,0,1,,0,,0,,0,
52459,22881,1,1,1,1,,0,1,,0,0,1
89809,85677,0,,,0,1,1,0,0,0,,0
66036,70639,1,,,1,1,0,1,,,1,0
784,29154,,1,0,1,1,,0,,1,,
71706,70909,,1,,1,,1,0,1,0,1,
62027,39115,0,1,,1,0,1,1,,,,0
24322,18461,1,,1,0,1,0,0,0,0,,0
78764,31166,1,1,0,1,1,,,0,,1,0
77446,84297,1,0,,,,,0,,1,,0
85603,26304,1,0,,0,,0,1,0,,1,0
50967,11434,,0,0,0,,,1,,1,,0
56098,38933,0,0,,,,,0,0,0,0,1
9608,13564,1,,0,1,0,,0,0,1,1,1
15769,41538,1,1,,0,,0,0,1,,0,0
88440,41719,1,,1,,,,,,,1,1
56470,94319,1,,,,,,1,0,1,0,1
99382,24501,0,0,1,,,,,0,1,0,0
50020,10664,0,1,1,1,0,0,,,1,0,
1125,70469,0,,,,0,,1,0,,1,1
11505,14819,1,0,0,1,1,,,,1,1,0
97764,28915,0,,0,0,,1,0,1,0,,
39443,64183,1,1,,,1,0,,0,,0,1
84177,95932,0,0,,,1,1,,1,,0,
17426,96300,1,,0,1,,,0,1,1,1,1
96003,99220,0,,,,0,,,1,,1,1
5214,16125,,,0,1,,0,0,0,,1,1
36110,3218,1,1,,1,,,0,1,0,,
54616,81934,0,0,1,1,,0,0,1,1,,
30713,3819,1,0,,0,1,0,,,1,0,0
36813,4859,1,1,,,,,0,1,0,1,0
75837,77268,1,1,0,1,1,1,,,,0,
96103,8225,1,0,,0,1,0,,1,1,1,0
25478,89933,0,0,,,0,,0,,1,,0
52035,52898,,1,,0,1,0,,,,,
9356,1874,,1,,0,0,,1,0,1,0,1
73199,68962,0,,1,0,1,0,0,1,,,0
20308,77616,0,1,0,0,,0,,0,,,0
88161,56140,0,,,1,0,,,,1,0,0
4675,73221,,1,,0,0,0,0,0,,,0
76581,58595,1,1,,1,0,,,,1,,
19764,48688,,,1,0,1,,0,0,,1,1
37502,10238,0,,1,1,1,,1,1,1,0,
86803,49663,1,,0,0,1,0,0,,0,,
19305,51482,,0,1,,,1,1,1,,,0
71404,84188,1,0,,1,0,1,0,1,1,,
75230,42008,1,0,1,,0,0,0,0,,,
82000,17753,1,0,1,1,0,,0,1,,1,
67223,43091,,0,0,0,1,1,0,1,1,0,0
52361,66765,,0,0,,,0,0,1,0,0,1
20440,3488,,1,,0,0,0,0,0,,1,1
33329,93124,,0,0,1,1,1,1,,0,1,0
59764,1681,1,0,,0,0,0,1,1,0,1,1
14810,60820,1,,0,0,1,1,,0,1,0,0
28439,15560,0,1,0,0,,,,1,,,1
19764,85667,1,1,1,1,0,1,,1,0,,
14001,88940,,0,0,0,,1,1,0,1,1,0
4002,18119,0,0,,1,1,1,,0,,1,1
66933,25017,0,0,0,0,1,,0,1,1,0,1
26297,5057,1,0,1,0,0,,0,0,,,1
23185,85515,,1,,0,0,0,0,,,,
87896,99304,1,1,1,,1,1,,1,,1,0
74284,77499,0,1,1,,1,1,0,1,0,0,
67557,6768,1,,,,1,1,1,,,1,1
37018,70759,0,1,1,0,0,0,0,1,0,0,0
2283,15674,0,0,1,1,1,0,1,,1,,0
7567,42691,1,1,,0,1,,0,,0,0,
67603,31643,,0,1,1,1,1,,,1,1,1
43919,9750,,0,1,1,,1,1,0,1,0,1
83412,77338,1,0,,,,,1,0,,,0
18907,53052,1,0,,1,0,,1,1,1,1,0
77142,45150,,0,0,1,1,0,,1,,,
66466,31689,0,0,0,,0,1,,1,0,1,1
44093,7223,1,1,0,,,,,0,,,0
14490,98188,1,0,,0,0,1,,,1,1,0
34458,55447,1,1,1,1,0,,,0,0,1,0
63904,69250,1,,0,1,0,,0,1,0,1,0
50161,38617,1,,0,1,1,1,0,,,1,1
62424,13510,1,0,,0,1,,1,1,0,0,0
68621,40907,1,1,0,,1,,1,0,0,1,
52617,44861,,0,1,,,,0,0,,,1
31519,57906,,,,0,1,0,1,0,,0,1
28222,56287,,0,,1,1,0,,,1,,
96377,67857,,0,,1,0,0,,,,,0
28023,17211,0,,,1,,1,,1,1,0,
32093,4120,0,1,,,,,,1,,,
15758,70242,,,0,,,0,0,,0,1,
38558,49558,0,1,1,,1,1,0,,1,1,0
12071,85769,1,1,,1,,,,0,0,0,
77559,44226,0,0,,0,1,0,1,0,0,,1
24489,85064,,0,,0,0,,1,0,,,1
76604,55292,,,1,,,1,1,,,1,0
52621,72814,0,1,1,1,1,1,0,,,1,
57282,87943,,0,,,0,1,0,1,,,1
47808,47267,0,,,0,1,1,1,1,1,1,0
11324,37232,0,0,1,0,1,,1,0,0,0,1
49160,56889,0,,1,0,0,1,,1,,1,1
37370,98472,0,1,1,,1,,,0,1,,0
25474,27101,1,0,,,,,,0,,0,0
41596,6966,0,,1,,1,1,1,0,,1,
72467,98513,0,1,1,1,,1,0,0,0,,
31638,48209,0,0,0,0,0,,0,,0,0,
82096,20469,0,1,,1,,0,,,0,0,
64577,70978,1,0,,,,0,0,1,,1,
85459,28659,0,,,0,,0,0,0,0,,
72494,67082,0,0,,,1,1,1,0,,1,1
44725,63606,1,,0,0,0,1,,1,,0,1
79492,27343,1,,0,,1,0,,,1,1,
3095,5025,0,1,,,0,1,,,,,
42894,20159,1,1,,,1,1,,,,1,0
93641,59702,1,0,0,1,0,0,0,0,,1,1
84763,43903,,,0,1,,0,1,,,0,
99496,42635,1,1,0,0,1,1,,,0,,1
15601,44991,0,0,,,1,1,0,1,0,,
26882,6728,0,1,,1,1,,0,1,0,0,
99573,89369,1,1,1,,0,,1,0,,1,0
58504,84727,0,,0,0,,0,0,,,1,
4967,98468,1,1,0,0,0,1,1,,0,1,
3892,35375,1,,1,0,,,1,0,0,,1
55856,61196,0,,,1,,,,,,0,0
83234,92059,1,1,0,1,,0,,,0,,0
56021,23823,,1,0,1,,,1,,,0,1
70624,95687,1,,0,1,0,,0,,1,,0
8343,10802,1,1,,,1,0,,1,0,1,1
73235,69857,0,1,,,,,,,,1,
92424,27508,1,0,1,1,0,1,0,1,0,,0
9078,85574,0,0,1,1,1,0,,1,,1,
92001,95668,0,,0,0,,,1,,1,1,1
78032,97641,,,0,0,1,1,,,,,
65695,35240,,1,1,,,1,0,0,,1,1
30561,74058,,,1,,,0,1,,1,1,0
75141,34240,,1,0,1,0,1,0,,0,,
90948,4751,0,0,0,,1,1,0,,1,,
22085,29408,1,,1,1,0,,,,1,1,0
62849,64525,,0,1,0,1,1,0,1,,0,0
85956,79660,,1,,1,1,1,0,1,,0,
71806,51980,0,0,,1,1,0,0,,,0,1
16123,36980,1,0,1,0,,1,0,0,0,,
19151,71609,0,0,1,,,0,,0,,1,
64463,25597,,1,1,0,,,,0,,0,0
20673,16460,1,,0,1,1,0,1,1,0,0,1
33742,74913,1,1,1,1,0,,0,,,0,
20279,97582,,1,0,0,,,0,,0,0,
21259,34960,0,,1,0,,1,,0,0,0,0
46631,21729,,,0,0,0,,,,,1,0
50480,95130,,,1,0,1,1,1,,,,0
4045,46667,0,1,,1,,,1,,1,1,0
79109,97742,0,1,1,0,,0,1,1,1,,0
10751,96766,,0,0,0,0,0,,,0,0,0
9967,7749,1,,1,,0,1,,1,,0,
95137,54646,,0,1,1,,0,0,1,0,1,0
6995,14848,,0,,,,1,,0,0,1,1
97127,84222,,0,1,1,1,,1,,0,0,1
3129,23092,1,,1,0,,0,0,,1,1,1
35241,28190,1,0,1,1,1,0,0,0,0,1,
